%commit,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
10,29.52,31.11,31.29,30.95,30.87,32.41,34.61,32.36,34.71,31.26,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,31.97,30.03,31.31,30.09,31.74,29.13,31.81,31.8,29.11,29.1,29.18,29.13,32.35,31.27,29.1,29.12,29.11,29.17,29.16,29.16,31.45,29.12,29.1,29.13,29.88,29.14,29.13,29.12,29.1,31.26,31.29,29.14,30.11,29.12,29.14,29.83,29.13,29.84,29.8,29.88,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,32.0,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,31.44,29.12,29.08,29.08,29.11,29.11
11,31.51,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.18,29.1,29.19,29.08,30.16,29.13,30.11,30.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,31.42,29.13,29.21,29.14,29.13,29.12,31.23,29.13,30.06,29.14,29.13,29.12,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.85,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
12,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,30.0,29.13,29.21,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,31.64,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
13,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
14,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,30.02,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.97,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.97,29.13,29.17,30.01,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
15,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.25,29.13,29.37,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.94,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,32.38,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.97,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,32.37,30.03,29.1,29.17,30.16,29.12,29.97,29.17,30.18,29.98,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
16,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.8,31.46,29.21,29.14,29.12,30.84,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.95,29.1,29.18,29.13,29.13,29.14,32.35,32.37,32.36,29.17,29.16,32.41,29.13,29.12,29.1,29.13,29.21,29.14,29.13,32.37,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,30.04,34.54,29.92,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,30.01,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,30.8,29.11
17,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.76,29.1,30.82,29.17,29.88,30.47,32.37,31.62,29.35,29.92,29.19,32.33,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.97,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,30.81,29.1,29.13,29.21,32.38,29.13,29.12,29.1,29.13,29.16,32.39,30.14,29.12,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,31.98,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.9,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,32.41,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,32.42,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.29,29.28,29.12,29.12,29.08,29.08,29.11,29.93
18,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,31.52,29.1,29.13,29.17,31.14,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,32.35,32.34,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,32.37,29.1,29.13,29.21,29.14,29.13,29.12,29.1,30.47,29.16,29.14,29.13,29.12,29.33,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,34.14,29.12,30.15,30.19,30.19,32.32,32.36,32.27,32.48,30.14,30.15,30.19,29.18,30.17,31.99,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,30.25,30.12,32.34,32.12,31.87,29.16,29.83,30.0,29.87,29.83,29.75,29.81,34.23,29.87,29.23,29.88,29.76,29.79,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.78,30.16,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.36,31.46,31.76,29.96,30.17,31.29,29.92,29.11,29.14
19,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,29.13,29.12,30.03,29.13,29.16,29.14,29.13,29.79,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,30.19,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,31.92,29.14,29.13,29.12,29.12,29.08,29.98,29.11,29.11
20,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,30.18,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
21,29.52,29.18,29.16,29.13,29.12,29.19,29.14,29.14,29.24,29.14,29.1,29.1,29.13,29.17,29.21,29.14,29.12,29.12,29.15,29.1,29.19,29.08,29.12,29.13,29.1,29.1,29.11,29.1,29.18,29.13,29.13,29.14,29.1,29.12,29.11,29.17,29.16,29.16,29.13,29.12,29.1,29.13,29.21,29.14,29.13,29.12,29.1,29.13,29.16,29.14,29.13,29.12,29.14,29.16,29.13,29.14,29.14,29.21,29.25,29.15,29.13,29.12,29.12,29.15,29.19,29.18,29.1,29.13,29.18,29.18,29.14,29.17,29.14,29.18,29.12,29.09,29.12,29.21,29.13,29.21,29.15,29.18,29.19,29.2,29.21,29.12,29.12,29.11,29.17,29.16,29.14,29.21,29.21,29.16,29.08,29.15,29.21,29.21,29.23,29.21,29.1,29.13,29.1,29.22,29.15,29.15,29.14,29.13,29.14,29.14,29.17,29.17,29.11,29.13,29.18,29.13,29.1,29.08,29.08,29.12,29.11,29.12,29.13,29.1,29.17,29.11,29.12,29.13,29.17,29.17,29.13,29.21,29.14,29.13,29.12,29.12,29.08,29.08,29.11,29.11
