journal_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,326297097917,327572439623,318342773696,303758137393,323110755495,351181678248,247111361016,348792181141,316545197536,358272531987,275644341674,310708392971,302783663589,360062726522,378912173375,286681841178,311350689532,281999871551,366338148666,323564256957,305638911236,308205636997,345316000343,354098452950,310402255466,290524609730,318523681974,404319227937,296399604685,340227415407,288585190232,294137512324,322577673827,341103341529,329589235216,315450551787,307761745480,371316105276,366574869707,283128768154
11,326297400591,327572665018,318342931828,303758394988,323111000214,351181910087,247111567089,348792451614,316545197536,358272818915,275644554190,310708641263,302783927622,360062945476,378912482488,286682027936,311350908487,282000051861,366338399821,323564447287,305639194586,308205785117,345316328771,354098746320,310402474424,290524770729,318523862292,404319517728,296399746357,340227660124,288585389871,294137711961,322577960759,341103573367,329589467049,315450802939,307761945119,371316105276,366575223904,283128948469
12,326297400591,327572665018,318342931828,303758394988,323111000214,351181910087,247111567089,348792451614,316545197536,358272818915,275644554190,310708641263,302783927622,360062945476,378912482488,286682027936,311350908487,282000051861,366338399821,323564447287,305639194586,308205785117,345316328771,354098746320,310402474424,290524770729,318523862292,404319517728,296399746357,340227660124,288585389871,294137711961,322577960759,341103573367,329589467049,315450802939,307761945119,371316105276,366575223904,283128948469
13,326297400591,327572665018,318342931828,303758394988,323111000214,351181910087,247111567089,348792451614,316545197536,358272818915,275644554190,310708641263,302783927622,360062945476,378912482488,286682027936,311350908487,282000051861,366338399821,323564447287,305639194586,308205785117,345316328771,354098746320,310402474424,290524770729,318523862292,404319517728,296399746357,340227660124,288585389871,294137711961,322577960759,341103573367,329589467049,315450802939,307761945119,371316105276,366575223904,283128948469
14,326297400591,327572665018,318342931828,303758394988,323111000214,351181910087,247111567089,348792451614,316545197536,358272818915,275644554190,310708641263,302783927622,360062945476,378912482488,286682027936,311350908487,282000051861,366338399821,323564447287,305639194586,308205785117,345316328771,354098746320,310402474424,290524770729,318523862292,404319517728,296399746357,340227660124,288585389871,294137711961,322577960759,341103573367,329589467049,315450802939,307761945119,371316105276,366575223904,283128948469
15,326297400591,327572665018,318342931828,303758394988,323111000214,351181910087,247111567089,348792451614,316545197536,358272818915,275644554190,310708641263,302783927622,360062945476,378912482488,286682027936,311350908487,282000051861,366338399821,323564447287,305639194586,308205785117,345316328771,354098746320,310402474424,290524770729,318523862292,404319517728,296399746357,340227660124,288585389871,294137711961,322577960759,341103573367,329589467049,315450802939,307761945119,371316105276,366575223904,283128948469
16,326297984463,327573560867,318343740394,303759180653,323111753682,351182799499,247112204631,348793357481,316545197536,358273289029,275645269024,310709475572,302784703978,360063698939,378913291053,286682817900,311351626895,282000568475,366339128230,323565281610,305640103321,308206454869,345317130889,354099625726,310403212148,290525421863,318524690165,404320387110,296400323075,340228252587,288586143331,294138336633,322578712057,341104330412,329590046640,315451540657,307762657083,371319234311,366575835695,283129467238
17,326297984463,327574048146,318344158982,303759486902,323112307516,351183224526,247112446482,348793943507,316545197536,358274139086,275645678314,310709836201,302785074626,360064072447,378913906405,286683362432,311352193610,282001038576,366339601911,323565648680,305640457511,308206905663,345317578816,354099983498,310403737343,290525834014,318525128073,404320873677,296400767420,340228252587,288586549045,294138636448,322579092004,341104755444,329590059520,315452033653,307763178714,371321720810,366575835695,283129769910
18,326297984463,327574209145,318344313540,303759603533,323112423434,351183327562,247112549520,348794046545,316545197536,358274306522,275645804250,310709929933,302785171221,360064072447,378914035202,286683510551,311352315970,282001109415,366339704948,323565783917,305640586308,308207028022,345317720493,354100067218,310403859701,290525937050,318525224671,404321018929,296400864014,340229035381,288586607004,294138758808,322579214362,341104916442,329590065960,315452149569,307763313952,371321823848,366575996693,283129853627
19,326297984463,327574669952,318344690629,303759835365,323112806969,351183723974,247112819991,348794423635,316548250759,358274725824,275646184202,310710206846,302785493209,360064072447,378914479551,286683768150,311352586448,282001392764,366340052701,323566119505,305641066432,308207285620,345318171279,354100292615,310404316933,290526201795,318525591746,404321392443,296401237528,340229035381,288586951885,294139152355,322579623646,341104922882,329590065960,315452491592,307763610182,371322171603,366575996693,283130143423
20,326297984463,327574692848,318344729268,303759874003,323112871368,351183769053,247112884390,348794513794,316548463276,358274822423,275646280802,310710367839,302785580502,360064207680,378914621229,286683881206,311352676607,282001525135,366340159314,323566254743,305641182350,308207407978,345318325836,354100399231,310404452170,290526311271,318525765625,404321592078,296401321248,340229035381,288587064936,294139229635,322579758883,341104922882,329590065960,315452630406,307763693901,371322323296,366575996693,283130282239
21,326298100379,327574840967,318344877386,303760057893,323113032365,351183769053,247113000308,348794687665,316548630711,358274964101,275646377401,310710496637,302785689977,360064207680,378914827303,286684016445,311352837602,282001647489,366340294547,323566396417,305641317589,308207601176,345318345155,354100579547,310404561646,290526420746,318525875103,404321772394,296401450045,340229035381,288587225931,294139364875,322579855481,341104922882,329590065960,315452746321,307763816258,371322426333,366576750161,283130417479
22,326298100379,327575092123,318345157881,303760319066,323113315717,351184226284,247113145561,348794955274,316548859681,358275241015,275646606374,310710683390,302785957586,360064207680,378915162176,286684222521,311353030800,282001866441,366340416905,323566602492,305641517226,308207742856,345318345155,354100792062,310404732659,290526652582,318526055421,404321979179,296401649680,340230078641,288587419127,294139564509,322580158153,341105718571,329590065960,315452930210,307764022333,371322638851,366576750161,283130582052
23,326300332850,327575552934,318345544276,303760847135,323113776522,351184667769,247113538387,348795396757,316549333368,358275759778,275646838212,310711102692,302786392633,360064207680,378915580769,286684757032,311353581762,282002233511,366340416905,323567050419,305642042423,308208225850,345318941187,354101339436,310405202770,290527019659,318526164900,404322581664,296402062545,340230288293,288587770453,294140008862,322580711973,341106295305,329590629805,315453142727,307764431626,371323192670,366578363714,283130781688
24,326300816549,327576290663,318346226895,303761504001,323114472031,351184803006,247113969863,348796089404,316549848556,358276430234,275647482920,310711772442,302786943587,360066614751,378915580769,286685323749,311354088361,282002713639,366340416905,323567582065,305642596962,308208667340,345319076424,354102019208,310405747297,290527489770,318526203538,404323403813,296402719417,340231213479,288588237694,294140443917,322581237162,341106836254,329592585381,315453142727,307764888860,371323904636,366578969066,283130781688
25,326301003306,327576367943,318346339949,303761626360,323114587950,351185598686,247113969863,348796308357,316550015993,358276655627,275647605280,310711901238,302787027303,360066821538,378915580769,286685407468,311354197840,282002868193,366340416905,323567772398,305642764398,308208866979,345319076424,354102193085,310406004890,290527631450,318526934811,404323758007,296402880416,340231516152,288588437326,294140682196,322581443237,341107074532,329592868739,315453142727,307765094938,371324168667,366579220223,283130871848
26,326301003306,327576367943,318346339949,303761626360,323114587950,351185598686,247113969863,348796308357,316550015993,358276655627,275647605280,310711901238,302787027303,360066821538,378915580769,286685407468,311354197840,282002868193,366340416905,323567772398,305642764398,308208866979,345319076424,354102193085,310406004890,290527631450,318526934811,404323758007,296402880416,340231516152,288588437326,294140682196,322581443237,341107074532,329592868739,315453142727,307765094938,371324168667,366579220223,283130871848
27,326301827612,327576986881,318347165677,303762416311,323115476651,351186465201,247113969863,348797345177,316550798791,358277625894,275648413851,310712422869,302787890230,360067698076,378915580769,286686032858,311354916249,282003367634,366342801067,323568233205,305643337546,308209588957,345319817003,354102914355,310406642437,290528215318,318528068941,404324524343,296403414927,340232131515,288589129960,294141368402,322582203851,341107944635,329593600023,315453142727,307765829801,371325161115,366580183346,283132408829
28,326301827612,327576986881,318347172117,303762435630,323115547491,351186561798,247113969863,348797377377,316550876070,358277774009,275648578420,310712422869,302788031905,360067778927,378915580769,286686135897,311355032165,282003570846,366343010719,323568233205,305643401945,308209659795,345320722135,354103017393,310406784114,290528447149,318528287894,404324730419,296403782712,340232350472,288589275209,294141439240,322582390606,341108066994,329593696620,315453142727,307765942857,371325309233,366580395864,283132505429
29,326302149598,327577458406,318347294474,303762680347,323115750702,351186812956,247115103288,348797632109,316551117922,358278070951,275648839593,310712422869,302788344586,360068181776,378915580769,286686419967,311355257562,282003841320,366343287630,323568233205,305643711058,308209920969,345320993320,354103287862,310407099670,290528627467,318528461773,404325219849,296404046745,340232614507,288589494166,294141671076,322582690408,341108343910,329593902694,315453149167,307766194013,371325631227,366580673492,283132737265
30,326302838647,327578025118,318347294474,303763221303,323116369645,351187376802,247115525457,348798160178,316551665313,358278798652,275649354785,310712422869,302788750295,360068681226,378915748206,286686825686,311355714798,282004253464,366343841449,323568239644,305644174721,308210442595,345321499205,354103719333,310407492504,290528988099,318528835288,404325490322,296404446016,340233181220,288589848357,294142076788,322583089669,341108736747,329594286223,315455657830,307766644808,371326075572,366581175803,283133052822
31,326303205713,327578359991,318347294474,303763620576,323116865516,351187904871,247115800221,348798582343,316552025946,358279152842,275649699676,310712422869,302789120939,360069064757,378918947386,286686825686,311356162732,282004594770,366344363080,323568239644,305644625511,308211010015,345321972888,354104234531,310407882468,290529451771,318529225257,404325490322,296404871764,340233715736,288590283398,294142582677,322583247800,341109239064,329594807853,315456079996,307767080573,371326564999,366581678830,283133442792
32,326303218593,327578372871,318347294474,303763639896,323116871956,351187917751,247115800221,348798582343,316552032386,358279152842,275649699676,310712429309,302789133819,360069064757,378918960266,286686825686,311356175611,282004594770,366344369520,323568239644,305644625511,308211010015,345322005086,354104234531,310407888908,290529464651,318529238137,404325490322,296404884644,340233728616,288590289838,294142589117,322583247800,341109245504,329594807853,315456092876,307767087013,371326571439,366581698150,283133449231
33,326303315193,327578475908,318347294474,303763768694,323116995026,351188005046,247115851740,348798672502,316552151879,358279281641,275649757635,310712429309,302789223977,360069180673,378919076183,286687405285,311356227130,282004646288,366344504757,323568239644,305644702791,308211087294,345322069484,354104337567,310407998388,290529541928,318529374083,404325490322,296405000562,340233854550,288590405755,294142717917,322583260679,341109374303,329594891571,315456215233,307767170732,371326726709,366581846266,283133520070
34,326303720902,327578949594,318347294474,303764177982,323117410753,351188588202,247116116486,348798807738,316552486753,358279603632,275650189105,310713821035,302789610355,360069702301,378919652907,286687859656,311356504047,282004997611,366344910465,323570391267,305645082742,308211467250,345322442988,354104730398,310408330396,290529938335,318529811991,404325490322,296405380513,340234240945,288590727740,294143097875,322583663522,341109676976,329595242903,315456575862,307767454089,371327133136,366582264862,283133842058
35,326304075097,327579297348,318347300914,303764655246,323117810030,351189078344,247116506459,348798807738,316552934683,358279970701,275650453853,310714819912,302789816431,360069947018,378919910500,286688159466,311356881140,282005319600,366345303295,323570681774,305645082742,308211931639,345322732781,354104730398,310408685304,290530306109,318530140425,404325490322,296405696065,340234691734,288590914496,294143394109,322584082105,341110157817,329595677952,315457043819,307767866244,371327699844,366582693473,283134219145
36,326304674716,327579990708,318350025696,303765260594,323118425396,351189876887,247117076744,348798807738,316553533595,358280653328,275651017701,310715570514,302790122674,360070713352,378920747687,286688729757,311356990616,282005899183,366345857129,323571312884,305645082742,308212473309,345323170692,354105974724,310409120349,290530705380,318530678511,404325490322,296406082457,340235284199,288591584243,294144022356,322584916417,341110834008,329596405664,315457614102,307768520964,371327873721,366583347480,283134830931
37,326304809955,327580119507,318350135175,303765370068,323118567071,351190031439,247117141143,348798807738,316553617314,358280788567,275651146499,310715667111,302790122674,360070758431,378920831405,286688829932,311356997056,282005989342,366346031009,323571531840,305645340333,308212775984,345323428282,354106232321,310409455935,290530979430,318530961866,404327027291,296406082457,340235677025,288591635762,294144086755,322584974375,341110911286,329596463620,315457813740,307768572484,371327873721,366583595773,283134927530
38,326304958074,327580216107,318350180252,303765428028,323118663668,351190070078,247117147582,348798807738,316553617314,358280852967,275651172259,310715673551,302790122674,360070861467,378920889364,286688875011,311356997056,282006079502,366346140487,323571602680,305645340333,308212840383,345323473359,354106348241,310409507454,290531050268,318531064904,404327639084,296406082457,340235747864,288591674400,294144131835,322585058093,341110995004,329596566659,315457903897,307768636884,371327873721,366583679492,283135011248
39,326305789520,327581056865,318350804925,303766014767,323119433589,351190887944,247117679228,348800238101,316553617314,358281642916,275651774752,310716260288,302790122674,360071644270,378921508303,286689428845,311356997056,282006614014,366346849583,323572011968,305645546406,308213104419,345323730950,354106612276,310409745733,290531253480,318531322501,404329070156,296406494609,340236011896,288592183142,294144569749,322585702066,341111503755,329597121197,315458474176,307769104133,371328163517,366584314178,283135397642
40,326306958709,327582219622,318351841747,303766968578,323120623536,351191960543,247118584384,348802489890,316555067005,358282558082,275652744311,310717414451,302792290730,360072980894,378923023081,286690391971,311358359458,282007560655,366348247749,323573293500,305646549586,308214000281,345324761327,354107858746,310410831203,290532184394,318532375774,404330281552,296407867009,340236627256,288593413857,294145623030,322586739588,341112825359,329598271780,315459492378,307770163858,371328163517,366585667984,283136386522
41,326307329348,327582651087,318352379837,303767631883,323121058579,351192624562,247118977213,348802931377,316555772530,358283432471,275653179361,310718039120,302792931843,360073534716,378923657769,286690868525,311359844207,282007560655,366348933952,323574031937,305647042589,308214187038,345325637850,354108783226,310411533153,290532725333,318533268055,404331377049,296408643370,340236627256,288594007740,294146324972,322587513078,341113646801,329598983750,315460259424,307771139863,371329039336,366586589596,283137082029
42,326307586934,327582890073,318352576610,303767792881,323121171634,351192740480,247119067369,348803060171,316556033703,358283599909,275653298857,310718200830,302793060639,360073534716,378923850960,286691035964,311360018085,282008227532,366349140030,323574325309,305648543788,308214187038,345326060016,354109092336,310411810065,290532974337,318533583609,404331802073,296408960348,340236627256,288594200933,294146492409,322587722729,341113833560,329599219163,315460452619,307771268661,371329039336,366586802827,283137268785
43,326308160084,327583926899,318353484634,303768669425,323122044591,351193871743,247119792212,348804109860,316557003263,358284711143,275654104561,310719170376,302793888492,360073534716,378924940006,286691905351,311360803753,282009087606,366350273445,323575231174,305649207091,308214187038,345326611687,354109769235,310412386792,290533534603,318534163913,404332578421,296409479115,340236627256,288595080314,294147307416,322588662932,341114816007,329600150797,315461322707,307772225344,371330866817,366587353794,283138006510
44,326308160084,327583926899,318353484634,303768669425,323122044591,351193871743,247119792212,348804109860,316557003263,358284711143,275654104561,310719170376,302793888492,360073534716,378924940006,286691905351,311360803753,282009087606,366350273445,323575231174,305649625679,308214187038,345327146190,354110129868,310412798946,290533959628,318534611843,404333183760,296409830447,340239432894,288595080314,294147307416,322588662932,341114816007,329600150797,315461322707,307772225344,371330866817,366587353794,283138025830
45,326309320679,327584568023,318354203046,303769261897,323122604862,351194490680,247120092024,348804864042,316557612186,358285071773,275654642650,310719730643,302794400817,360073534716,378925682014,286692482082,311361425565,282009461115,366350953908,323575840097,305649748036,308214187038,345327304321,354110252224,310412869783,290534075547,318534721322,404333331878,296409933487,340239587450,288595460253,294147877702,322589361997,341115489340,329600466349,315461931624,307772744113,371333067089,366587360234,283138445133
46,326309745714,327585702872,318355375078,303770382441,323123748294,351195543955,247120862656,348806191358,316558701233,358285071773,275655519196,310720939179,302795496291,360076885571,378926860504,286693448069,311362459530,282010330492,366352277663,323576919138,305650830643,308216871042,345328389790,354111360599,310413948809,290535058696,318535768156,404334637018,296410829341,340240698686,288596391874,294148853704,322590498998,341116684304,329600466349,315463017809,307773778079,371334649151,366587846804,283139389646
47,326310612230,327585973349,318355606915,303770627154,323124067420,351195543955,247121072308,348806500471,316558939512,358285071773,275655654435,310721135948,302795670165,360077065888,378927169619,286693664162,311362723567,282010547295,366352438662,323577176731,305651268550,308217502155,345328876353,354112194926,310414645028,290535835054,318536367071,404335673836,296411602841,340241571641,288596601521,294149095557,322590743707,341116939037,329600466349,315463275400,307774054993,371335090638,366587846804,283139689457
48,326310612230,327585973349,318355606915,303770627154,323124067420,351195543955,247121072308,348806500471,316558939512,358285071773,275655654435,310721135948,302795670165,360077065888,378927169619,286693664162,311362723567,282010547295,366352438662,323577176731,305651268550,308217502155,345328876353,354112194926,310414645028,290535835054,318536367071,404335673836,296411602841,340241571641,288596601521,294149095557,322590743707,341116939037,329600466349,315463275400,307774054993,371335090638,366587846804,283139689457
49,326310902025,327586230944,318355851634,303770916949,323124296393,351195543955,247121301279,348806783828,316559204255,358285071773,275655851210,310721335581,302795934190,360077256220,378927508068,286693934641,311362955407,282010721172,366352674076,323577434327,305651268550,308217502155,345328876353,354112194926,310414645028,290535835054,318536367071,404335673836,296411602841,340241571641,288596833353,294149318089,322590998435,341117183755,329601435910,315463562328,307774329037,371335396892,366587846804,283139837575
50,326311710587,327586968669,318356621559,303771651807,323125040552,351196146438,247121852240,348807347675,316559822484,358286927175,275656537417,310722073302,302796603928,360078090542,378928355266,286694552874,311363650922,282011330092,366352674076,323578217846,305651519702,308217750450,345329430168,354112404578,310414915505,290535989607,318536566707,404336057363,296411860434,340241852129,288597510249,294150088014,322591652435,341117911465,329602811182,315464168378,307774934391,371336131038,366588539450,283140269047
51,326312547770,327587577593,318357490949,303772338008,323125836946,351196146438,247122296591,348808262848,316560640348,358288637317,275657313785,310722920494,302797328764,360078985688,378929038603,286695146062,311364330692,282011893936,366354521586,323578874716,305652502137,308218807309,345330538524,354113658210,310416036762,290537014256,318537684388,404337487723,296412778468,340243012730,288598179986,294150735583,322592390147,341118807327,329603645501,315464996249,307775717197,371337194327,366589016004,283140797119
52,326313214646,327587577593,318358250858,303773091476,323126719218,351196771812,247122950598,348809129364,316561313673,358289545336,275657700181,310723558037,302798195271,360079774929,378929038603,286695976815,311365097751,282012587290,366355272182,323579631762,305653616231,308220063812,345331833646,354115079270,310417054266,290537933008,318538744103,404338857257,296413602770,340244127539,288598808218,294151376711,322593128573,341119593000,329604293068,315464996249,307776390526,371338080162,366592462778,283140809999
53,326314042523,327587667752,318359017201,303773844943,323127563548,351199707675,247123482247,348810108218,316562145132,358290466232,275658721267,310724550475,302798984494,360080616401,378930372366,286696537087,311365967849,282013305692,366356258189,323580327266,305654157177,308220579004,345332391047,354115701782,310417550848,290538326547,318539436739,404339524134,296414183068,340244494612,288599607466,294151882595,322593966457,341120614082,329605278370,315465946470,307777224858,371339072605,366593518918,283140809999
54,326314825313,327589961773,318359590349,303774505383,323128490890,351200529119,247124275062,348810781540,316562828471,358291300551,275659172062,310725245980,302799628469,360081279698,378932076072,286696766061,311366599680,282013866662,366357024533,323580440320,305654685958,308221285240,345332932708,354115708222,310418269250,290538841738,318540100759,404340030017,296414869273,340245653787,288600377379,294151882595,322594618299,341121316033,329606003213,315466796530,307777917508,371339849684,366594221582,283142648952
55,326314973424,327590309528,318359590349,303774724340,323128780687,351200754516,247124494730,348811100666,316563205557,358291583909,275659320179,310725471375,302799776583,360081524409,378932307906,286696766061,311366818640,282014072736,366357272822,323580440320,305655207586,308221736749,345333647534,354115869219,310418897501,290539363360,318540731865,404340030017,296415558336,340246226933,288600554832,294152871474,322594888770,341121670230,329606296585,315466796530,307778168665,371340120156,366594595097,283143157701
56,326315089341,327590461223,318359590349,303774833820,323128842223,351200803172,247124526930,348811165066,316563302154,358291667627,275659345939,310725490695,302799880332,360081611703,378932423822,286696772501,311366895919,282014150013,366357375860,323580440320,305655339960,308221875565,345333769891,354115869219,310419077818,290539434198,318540802704,404340030017,296415674255,340246372184,288600664311,294152871474,322594953169,341121744646,329606328784,315467060568,307778265263,371340184553,366594723895,283143234981
57,326315140861,327590512742,318359590349,303774953316,323128958139,351200861131,247124591329,348811400479,316563430951,358291867265,275659513375,310725683890,302800047765,360081753380,378932665676,286696772501,311367083391,282014285247,366357630591,323580440320,305655526715,308222094524,345333911566,354115869219,310419303214,290539543677,318541044557,404340030017,296415777295,340246655542,288600722267,294152871474,322595030448,341121879886,329606489779,315467994341,307778404078,371340332668,366594894908,283143405995
58,326315797707,327591398581,318360851132,303775671719,323129718049,351201699021,247125158041,348811664514,316564198010,358292592109,275660167381,310725819128,302800656676,360082501121,378933557947,286697893759,311367796069,282014903468,366358374754,323580440320,305655968205,308222429399,345334282209,354117225888,310419638090,290539884988,318541302152,404340030017,296416034892,340246890955,288601492184,294153673596,322595675138,341122711353,329607256835,315468805766,307779083846,371341135495,366595641940,283143940507
59,326316786577,327592139173,318361611749,303776351482,323130504421,351202627068,247125780559,348811664514,316564967928,358293471514,275660759856,310725819128,302801468085,360083470676,378934360783,286698898388,311368527354,282015628308,366359382941,323582571182,305656670853,308223279470,345335155879,354118656257,310420585464,290540403753,318542181544,404341680752,296416772614,340247602915,288602272107,294154366240,322595700897,341123413296,329608171298,315469642943,307779174004,371342169446,366596663023,283144762665
60,326317238791,327592628602,318362075425,303776770785,323130984543,351203168010,247126134752,348811664514,316565341443,358293948067,275661223528,310725819128,302801919585,360084022349,378934921055,286699265466,311368958830,282016082672,366359949647,323583779727,305656670853,308223736703,345335652451,354119226546,310420830181,290541118581,318542681703,404343858134,296417049529,340248488754,288602720029,294154778396,322595700897,341123835466,329608674318,315470061529,307780488467,371342678199,366597226875,283145194139
