journal_wr,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
26,367755,370116,363597,350231,369419,393811,290437,391154,362704,400077,316931,354276,344448,382037,379687,334396,359149,330271,401746,369702,346597,349869,379949,380948,354205,322138,351166,256123,331448,366957,335164,340882,370653,386239,376626,350599,344309,324369,389203,320122
27,367881,370210,363721,350350,369554,393942,290437,391314,362822,400219,317054,354357,344576,382169,379687,334490,359258,330347,402074,369772,346683,349975,380041,381058,354303,322223,351317,256237,331527,367051,335268,340985,370766,386364,376737,350599,344419,324512,389346,320288
28,367881,370210,363722,350353,369565,393955,290437,391319,362834,400241,317079,354357,344598,382181,379687,334506,359276,330378,402106,369772,346693,349986,380172,381074,354325,322258,351351,256262,331582,367084,335290,340996,370795,386383,376752,350599,344436,324535,389379,320303
29,367929,370277,363741,350390,369596,393990,290563,391357,362871,400285,317119,354357,344646,382242,379687,334548,359311,330420,402149,369772,346737,350026,380213,381115,354372,322286,351377,256327,331623,367124,335323,341032,370841,386425,376784,350600,344473,324583,389420,320338
30,368036,370361,363741,350471,369688,394074,290626,391436,362951,400397,317198,354357,344708,382319,379712,334611,359382,330484,402233,369773,346807,350107,380289,381178,354431,322339,351433,256348,331681,367211,335377,341094,370901,386485,376842,350919,344542,324650,389490,320387
31,368092,370413,363741,350533,369763,394154,290666,391501,363007,400452,317250,354357,344764,382378,380147,334611,359447,330534,402312,369773,346877,350193,380361,381256,354490,322410,351493,256348,331746,367294,335443,341169,370925,386563,376923,350983,344608,324726,389565,320447
32,368094,370415,363741,350536,369764,394156,290666,391501,363008,400452,317250,354358,344766,382378,380149,334611,359449,330534,402313,369773,346877,350193,380366,381256,354491,322412,351495,256348,331748,367296,335444,341170,370925,386564,376923,350985,344609,324727,389568,320448
33,368109,370431,363741,350556,369782,394169,290674,391515,363025,400472,317258,354358,344780,382395,380167,334683,359457,330542,402333,369773,346888,350205,380376,381272,354508,322424,351514,256348,331765,367314,335462,341189,370927,386582,376936,351003,344622,324750,389590,320459
34,368169,370503,363741,350617,369846,394256,290713,391536,363077,400521,317325,354532,344840,382476,380252,334741,359500,330595,402394,370044,346947,350264,380432,381330,354559,322484,351580,256348,331822,367374,335510,341248,370980,386629,376989,351058,344664,324812,389653,320508
35,368223,370557,363742,350687,369908,394329,290772,391536,363146,400575,317364,354681,344872,382513,380292,334786,359557,330645,402455,370087,346947,350333,380477,381330,354612,322539,351631,256348,331871,367444,335539,341293,371030,386701,377056,351126,344728,324895,389718,320565
36,368314,370660,364107,350777,370000,394444,290858,391536,363236,400680,317448,354795,344915,382632,380417,334873,359574,330734,402540,370183,346947,350416,380544,381505,354678,322601,351713,256348,331931,367536,335641,341389,371146,386805,377163,351212,344824,324921,389819,320658
37,368331,370680,364123,350793,370022,394466,290868,391536,363247,400700,317468,354810,344915,382639,380430,334887,359575,330745,402567,370212,346980,350461,380584,381545,354727,322643,351757,256539,331931,367592,335649,341399,371155,386817,377172,351242,344832,324921,389855,320673
38,368353,370695,364130,350802,370037,394472,290869,391536,363247,400710,317472,354811,344915,382655,380439,334894,359575,330757,402584,370223,346980,350471,380591,381563,354733,322654,351773,256617,331931,367603,335655,341406,371167,386830,377188,351256,344842,324921,389868,320685
39,368476,370821,364221,350891,370150,394589,290949,391720,363247,400825,317561,354899,344915,382775,380531,334979,359575,330837,402689,370286,347003,350511,380630,381603,354769,322685,351812,256824,331986,367643,335734,341473,371266,386909,377273,351341,344912,324953,389959,320745
40,368652,370998,364376,351034,370328,394750,291086,392030,363439,400965,317705,355073,345200,382974,380752,335121,359736,330982,402897,370480,347135,350646,380787,381794,354931,322827,351972,257002,332187,367734,335919,341635,371420,387103,377445,351496,345074,324953,390163,320894
41,368708,371063,364454,351131,370395,394851,291144,392097,363544,401093,317769,355169,345296,383059,380850,335193,359961,330982,402999,370593,347195,350675,380918,381932,355039,322910,352104,257167,332304,367734,336008,341743,371539,387229,377554,351611,345220,325074,390304,321002
42,368747,371098,364483,351154,370412,394869,291158,392117,363583,401119,317786,355192,345316,383059,380880,335218,359987,331064,403029,370635,347390,350675,380980,381980,355081,322946,352151,257232,332351,367734,336037,341769,371571,387258,377590,351639,345240,325074,390336,321031
43,368830,371259,364622,351284,370541,395031,291266,392269,363725,401286,317908,355336,345439,383059,381043,335349,360109,331195,403197,370769,347491,350675,381064,382081,355166,323033,352237,257349,332429,367734,336168,341894,371712,387402,377727,351766,345381,325311,390420,321143
44,368830,371259,364622,351284,370541,395031,291266,392269,363725,401286,317908,355336,345439,383059,381043,335349,360109,331195,403197,370769,347554,350675,381143,382137,355229,323099,352300,257440,332483,368095,336168,341894,371712,387402,377727,351766,345381,325311,390420,321146
45,369003,371355,364732,351373,370624,395123,291312,392380,363817,401342,317990,355421,345518,383059,381155,335437,360203,331253,403299,370861,347573,350675,381167,382156,355240,323115,352317,257462,332499,368119,336225,341981,371819,387494,377775,351857,345460,325622,390421,321208
46,369065,371527,364905,351545,370799,395284,291430,392576,363985,401342,318121,355604,345675,383501,381332,335584,360360,331387,403499,371025,347733,351004,381331,382325,355402,323258,352475,257659,332635,368289,336366,342128,371993,387673,377775,352019,345618,325862,390483,321352
47,369185,371569,364941,351581,370847,395284,291461,392621,364021,401342,318142,355631,345701,383529,381379,335617,360401,331417,403524,371059,347801,351101,381405,382451,355509,323375,352568,257802,332752,368419,336398,342165,372029,387712,377775,352057,345661,325930,390483,321397
48,369185,371569,364941,351581,370847,395284,291461,392621,364021,401342,318142,355631,345701,383529,381379,335617,360401,331417,403524,371059,347801,351101,381405,382451,355509,323375,352568,257802,332752,368419,336398,342165,372029,387712,377775,352057,345661,325930,390483,321397
49,369228,371609,364978,351626,370881,395284,291496,392664,364058,401342,318172,355661,345740,383558,381428,335659,360436,331444,403560,371099,347801,351101,381405,382451,355509,323375,352568,257802,332752,368419,336434,342199,372068,387750,377878,352098,345702,325976,390483,321419
50,369353,371719,365096,351738,370992,395370,291581,392750,364154,401592,318275,355774,345842,383682,381558,335755,360542,331532,403560,371216,347838,351138,381483,382483,355550,323399,352599,257857,332792,368461,336536,342314,372165,387857,378063,352188,345795,326084,390573,321484
51,369482,371813,365225,351842,371112,395370,291649,392888,364277,401845,318395,355903,345951,383816,381661,335842,360644,331619,403798,371316,347989,351299,381650,382667,355716,323553,352765,258069,332933,368634,336638,342414,372275,387989,378189,352313,345913,326244,390635,321565
52,369579,371813,365340,351953,371243,395439,291746,393017,364379,401981,318454,356001,346084,383932,381661,335957,360760,331723,403914,371427,348156,351481,381837,382872,355867,323689,352917,258268,333054,368805,336733,342510,372386,388106,378288,352313,346013,326374,391131,321567
53,369704,371818,365456,352067,371368,395832,291825,393164,364503,402120,318597,356150,346199,384059,381832,336041,360892,331833,404065,371534,348237,351559,381916,382964,355941,323748,353020,258367,333137,368860,336855,342588,372513,388257,378433,352433,346136,326519,391290,321567
54,369822,372122,365543,352165,371501,395953,291939,393267,364605,402239,318667,356257,346296,384162,382084,336076,360987,331916,404181,371551,348318,351665,381998,382965,356049,323826,353118,258443,333240,369033,336972,342588,372606,388363,378543,352555,346240,326633,391394,321750
55,369843,372174,365543,352198,371545,395985,291972,393314,364662,402280,318689,356291,346319,384199,382120,336076,361021,331949,404219,371551,348398,351733,382105,382990,356145,323901,353216,258443,333346,369122,336999,342685,372647,388415,378588,352555,346279,326675,391452,321826
56,369861,372197,365543,352215,371554,395992,291977,393324,364676,402293,318693,356294,346334,384209,382138,336077,361033,331959,404234,371551,348418,351754,382124,382990,356173,323912,353227,258443,333364,369144,337015,342685,372657,388426,378593,352591,346294,326685,391472,321838
57,369869,372205,365543,352231,371571,396001,291987,393358,364696,402324,318719,356324,346360,384231,382175,336077,361061,331980,404273,371551,348447,351788,382146,382990,356208,323929,353262,258443,333380,369188,337024,342685,372669,388446,378617,352719,346315,326708,391498,321864
58,369970,372342,365709,352334,371689,396125,292075,393398,364811,402435,318818,356343,346454,384346,382310,336223,361168,332074,404387,371551,348514,351839,382202,383179,356258,323981,353301,258443,333419,369222,337141,342799,372763,388573,378734,352842,346418,326828,391614,321943
59,370115,372455,365823,352436,371807,396265,292168,393398,364924,402568,318908,356343,346578,384491,382431,336367,361280,332185,404541,371808,348620,351968,382330,383390,356402,324061,353433,258603,333533,369332,337261,342904,372767,388682,378873,352970,346432,326985,391768,322069
60,370183,372531,365888,352499,371880,396347,292221,393398,364982,402642,318979,356343,346645,384574,382516,336424,361345,332255,404626,371946,348620,352037,382405,383477,356439,324168,353509,258914,333575,369468,337330,342965,372767,388747,378947,353033,346598,327061,391853,322132
61,370204,372544,365903,352510,371894,396373,292227,393398,364991,402659,318992,356346,346657,384588,382533,336434,361363,332266,404644,371956,348722,352069,382456,383533,356439,324201,353548,258988,333641,369509,337341,342980,372767,388768,378958,353049,346617,327082,391863,322138
62,370236,372589,365950,352541,371927,396408,292257,393416,365015,402683,319012,356517,346677,384617,382564,336464,361381,332284,404658,371981,348727,352070,382458,383541,356442,324203,353549,258990,333641,369511,337375,343012,372767,388801,378988,353076,346642,327098,391878,322149
63,370266,372616,365969,352575,371975,396463,292281,393416,365054,402725,319032,356621,346677,384651,382616,336497,361404,332325,404714,372012,348778,352129,382518,383637,356442,324254,353616,259073,333641,369583,337395,343048,372768,388831,379038,353114,346682,327142,391940,322185
64,370334,372704,366051,352633,372040,396538,292346,393545,365083,402791,319093,356694,346677,384733,382694,336546,361404,332383,404797,372083,348778,352183,382574,383678,356444,324298,353674,259134,333699,369607,337450,343118,373071,388894,379116,353198,346741,327142,392028,322247
65,370412,372772,366117,352639,372103,396620,292391,393692,365083,402867,319158,356768,346677,384799,382770,336613,361537,332446,404864,372160,348895,352264,382669,383809,356502,324374,353748,259264,333826,369718,337516,343182,373154,388938,379183,353265,346807,327142,392110,322298
66,370526,372895,366208,352639,372218,396726,292494,393934,365083,402976,319266,356867,346911,384925,382905,336699,361648,332551,405004,372264,348940,352350,382793,383920,356733,324448,353848,259404,333897,369836,337631,343293,373284,388938,379304,353397,346921,327142,392229,322375
67,370573,372957,366259,352837,372222,396774,292534,393998,365148,403034,319318,356926,346960,384989,382982,336741,361702,332598,405069,372318,349046,352365,382863,383987,356783,324464,353904,259506,333956,369899,337694,343351,373344,388967,379360,353460,346983,327154,392286,322419
68,370576,372960,366265,352844,372222,396788,292537,394011,365148,403051,319321,356929,346962,385000,382994,336744,361713,332609,405080,372327,349052,352365,382881,383995,356789,324514,353911,259523,333962,369908,337698,343356,373346,388969,379372,353464,346997,327155,392297,322430
69,370635,373007,366306,352889,372222,396842,292581,394059,365336,403109,319368,356985,347024,385064,383049,336776,361764,332662,405129,372368,349099,352365,382929,384054,356823,324546,353943,259568,333988,369956,337741,343408,373401,388969,379419,353507,347037,327155,392338,322459
70,370635,373008,366307,352889,372222,396846,292581,394066,365347,403111,319370,356988,347024,385065,383053,336777,361776,332665,405135,372378,349108,352365,382941,384068,356835,324571,353967,259599,334006,369982,337745,343411,373402,388969,379426,353515,347046,327155,392353,322478
71,370681,373147,366423,353010,372222,396972,292675,394198,365476,403111,319483,357104,347141,385177,383197,336891,361894,332774,405258,372487,349217,352365,383064,384206,356958,324683,354078,259731,334104,369983,337834,343538,373524,389233,379532,353614,347144,327656,392485,322567
72,370681,373234,366512,353120,372506,397061,292745,394288,365582,403111,319555,357213,347253,385281,383318,336987,361988,332774,405374,372584,349313,352619,383180,384322,357050,324778,354183,259860,334200,369983,337929,343640,373628,389379,379548,353724,347229,327772,392485,322663
73,370681,373256,366523,353141,372524,397074,292756,394303,365591,403111,319605,357262,347280,385338,383375,337009,362022,332853,405421,372619,349315,352623,383182,384326,357052,324780,354185,259862,334200,369983,337953,343660,373649,389402,379548,353738,347244,327782,392508,322680
74,370682,373341,366615,353215,372606,397140,292814,394389,365669,403111,319642,357303,347326,385352,383419,337064,362081,332926,405483,372678,349400,352691,383254,384384,357129,324835,354257,259940,334250,370248,337989,343722,373723,389497,379710,353804,347320,327867,392508,322740
75,370682,373368,366635,353245,372634,397140,292840,394425,365707,403111,319668,357321,347355,385352,383453,337087,362118,332958,405493,372705,349437,352724,383299,384429,357173,324877,354258,259995,334287,370306,337989,343738,373749,389519,379710,353829,347337,327906,392710,322761
76,371003,373397,366711,353322,372704,397140,292891,394491,365777,403308,319728,357402,347426,385352,383499,337154,362178,333015,405493,372772,349499,352809,383369,384517,357223,324939,354258,260065,334335,370364,338041,343811,373830,389586,379710,353917,347402,328012,392783,322825
77,371024,373397,366737,353339,372730,397140,292917,394522,365801,403541,319761,357435,347463,385352,383499,337181,362222,333051,405493,372804,349546,352853,383418,384571,357274,324980,354258,260114,334384,370420,338041,343827,373864,389624,379710,353959,347433,328041,392794,322847
78,371054,373397,366773,353379,372765,397140,292941,394564,365836,403576,319798,357475,347491,385563,383499,337211,362255,333072,405493,372839,349587,352878,383457,384598,357307,325004,354259,260152,334430,370460,338143,343859,373896,389660,379710,353965,347457,328074,392846,322884
79,371142,373403,366859,353452,372880,397275,293020,394670,365931,403695,319823,357582,347579,385672,383596,337287,362360,333150,405494,372940,349682,352972,383565,384696,357390,325085,354482,260255,334508,370547,338219,343943,373988,389763,379915,353969,347532,328169,392951,322939
80,371193,373403,366903,353516,372938,397275,293061,394737,365976,403764,319900,357634,347630,385727,383596,337341,362413,333199,405820,372998,349750,353035,383595,384749,357450,325150,354546,260335,334575,370609,338276,343991,374059,389849,379985,353969,347587,328238,393029,322939
81,371266,373403,366972,353588,373002,397523,293118,394817,366054,403853,319977,357707,347700,385819,383596,337417,362486,333257,405902,373081,349846,353103,383712,384749,357509,325227,354621,260440,334654,370657,338330,344061,374128,389919,380065,353969,347668,328341,393112,323061
82,371363,373678,366980,353665,373074,397605,293184,394882,366097,403920,320036,357763,347757,385884,383698,337428,362530,333297,405955,373081,349912,353162,383779,384749,357550,325277,354665,260475,334705,370700,338393,344061,374185,389998,380156,354151,347720,328419,393182,323115
83,371386,373776,366980,353690,373118,397653,293208,394933,366143,403978,320070,357774,347810,385937,383913,337433,362588,333348,406029,373081,349959,353240,383837,384749,357636,325343,354714,260519,334779,370787,338423,344061,374243,390035,380209,354151,347781,328471,393249,323156
84,371482,373861,367039,353766,373198,397755,293261,395054,366230,404093,320126,357784,347867,386010,384014,337500,362645,333401,406095,373081,350034,353311,383900,384749,357707,325392,354777,260519,334835,370860,338485,344201,374326,390125,380282,354369,347829,328551,393319,323215
85,371563,373931,367208,353829,373256,397835,293307,395069,366296,404176,320201,357808,347960,386117,384147,337634,362742,333497,406225,373082,350125,353390,383996,384750,357794,325463,354859,260721,334930,370969,338561,344271,374429,390216,380351,354444,347851,328640,393413,323294
86,371725,374078,367359,353981,373416,397988,293406,395069,366400,404324,320297,358051,348071,386246,384253,337738,362835,333561,406336,373294,350225,353502,384112,384889,357879,325558,354962,260850,334983,371082,338672,344358,374498,390322,380476,354548,347983,328766,393533,323370
87,371822,374175,367457,354069,373521,398101,293490,395070,366531,404441,320358,358146,348140,386372,384362,337801,362906,333646,406440,373504,350285,353590,384208,385193,357879,325658,355056,260976,334983,371207,338746,344426,374498,390422,380567,354651,348071,328878,393632,323466
88,371872,374199,367495,354069,373555,398131,293517,395070,366566,404472,320397,358194,348188,386430,384435,337847,362965,333704,406492,373570,350285,353632,384259,385376,357901,325714,355124,261046,334984,371256,338800,344472,374498,390474,380616,354702,348130,328933,393704,323517
89,371879,374204,367502,354069,373559,398135,293524,395070,366570,404477,320409,358209,348191,386452,384456,337870,362983,333725,406513,373598,350285,353656,384278,385398,357946,325729,355150,261064,334984,371281,338821,344488,374573,390484,380640,354721,348153,328952,393727,323531
90,372003,374351,367641,354069,373707,398268,293636,395492,366651,404591,320495,358312,348220,386557,384565,337965,363018,333813,406625,373667,350286,353765,384427,385522,357965,325832,355248,261181,335111,371375,338922,344583,374753,390575,380721,354819,348249,329010,393810,323603
91,372063,374431,367703,354069,373787,398343,293696,395599,366651,404707,320578,358417,348220,386691,384703,338050,363108,333913,406747,373798,350335,353836,384533,385627,358211,325927,355336,261296,335304,371500,338990,344663,374866,390668,380858,354920,348367,329010,393938,323693
92,372182,374567,367839,354380,373886,398450,293774,395700,366651,404819,320656,358509,348220,386786,384824,338130,363158,333969,406826,373846,350584,353935,384629,385733,358279,326006,355413,261412,335386,371586,339062,344749,374965,390742,380947,355006,348416,329010,393990,323744
93,372284,374703,367948,354529,374043,398607,293894,395878,366651,405015,320774,358652,348595,386958,385037,338299,363392,334155,407042,374064,350760,354077,384822,385914,358447,326146,355589,261626,335531,371787,339232,344907,375124,390811,381159,355185,348621,329010,394229,323930
94,372288,374707,367950,354532,374045,398609,293897,395880,366651,405021,320776,358654,348600,386961,385038,338299,363410,334160,407048,374068,350762,354079,384824,385916,358454,326146,355591,261632,335532,371791,339233,344911,375127,390811,381162,355188,348625,329010,394233,323933
95,372289,374707,367953,354533,374046,398610,293898,395881,366652,405024,320777,358656,348601,386962,385040,338299,363413,334160,407048,374070,350763,354079,384825,385917,358456,326146,355591,261633,335532,371791,339234,344912,375127,390812,381164,355188,348626,329011,394233,323933
96,372390,374864,368113,354679,374062,398755,293988,396012,366915,405130,320870,358764,348718,387053,385158,338402,363510,334218,407154,374151,350889,354196,384965,386027,358581,326146,355688,261767,335625,371906,339331,345009,375243,390812,381281,355272,348718,329293,394307,324006
97,372390,374941,368214,354762,374254,398855,294070,396128,367212,405155,320948,358869,348822,387053,385318,338495,363644,334283,407307,374320,350994,354303,385092,386166,358694,326146,355823,261916,335755,372031,339433,345113,375343,390905,381387,355385,348845,329691,394458,324145
98,372395,374958,368229,354777,374271,398872,294077,396154,367236,405155,320964,358881,348839,387075,385340,338512,363655,334355,407346,374338,351008,354321,385116,386186,358711,326146,355835,261945,335766,372042,339452,345128,375365,390905,381410,355398,348864,329724,394476,324157
99,372395,375063,368323,354852,374355,398931,294129,396238,367290,405155,321016,358941,348902,387076,385418,338568,363706,334431,407416,374386,351067,354364,385190,386247,358761,326349,355895,262011,335820,372080,339523,345189,375433,390990,381455,355450,348922,329804,394536,324204
100,372395,375099,368377,354907,374412,399010,294172,396289,367358,405156,321075,359001,348968,387076,385506,338616,363782,334491,407493,374458,351119,354434,385275,386330,358847,326414,355964,262107,335895,372171,339575,345245,375504,391276,381455,355511,349001,329876,394556,324268
