apply_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
269,0.345,1.555,0.002,0.002,0.002,0.001,0.002,0.003,0.002,0.001,0.547,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.819,0.001,0.001,0.001,0,0.001,0.001,0.001,3.171,0
270,0.005,0,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.002,0,0.001,0.001,0.001,1.991,0.001,0.001,0.002,0.654,0.002,0.002,0.002,0,0.002,0.002,0.001,0.028,0.001,0.001,0.001,1.371,0.455,0.001,0.001,0.069,0
271,0.002,0,0.001,0.001,0.002,0.449,0,0.003,0.001,0.002,0.001,0.001,0.001,0.001,1.613,0.001,0.001,0.001,0,0.001,0.003,0.002,0.003,0.001,0.005,0.002,1.006,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.004,0,0.001,0.001,0.002,0
272,0.007,0.527,0.005,0.005,0.006,0.004,0.576,0.003,0.004,0.002,0.023,0.003,0.004,0.002,1.611,0.001,0.002,0.001,1.12,0.001,0.001,0.001,0.001,0,0.001,0.001,0.009,0,0.002,0.002,0.002,0.022,0.002,0.004,0.003,0,0.002,0.004,0.003,0.71
273,0.002,0.002,0,0.002,0.003,0.003,0.003,0.002,0.002,0.007,0.001,0.012,0.001,0.001,0,0,0.001,0.002,0.086,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.003,0.001,0.003,0.002,2.487,0.006,0.003,0.003,0.002
274,0.002,0.002,0,0.002,0.002,0.003,0.098,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0,0,0.002,0.002,0.001,0.571,0.001,0.001,0.001,4.95,0.001,0.001,0.001,0,0.001,0.001,0.002,0.341,0.002,0.002,0.001,0,0.001,0.002,0.002,0.001
275,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0,2.567,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.556,0.001,0.002,0.002,0.001
276,0.003,0.002,0,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0,1.062,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.67,0.001,0.001,0.001,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001
277,0.002,0.002,0.769,0.001,0.001,0.001,0.001,0,0.002,0.001,0.002,0,0.001,0.002,0.471,0,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001
278,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.562,0.001,0.001,0.001,0.379,0.995,0.001,0.001,0.001,0.002,0.001,0.001,4.48,0.815,0.001,0.001,0.001,0.235,0.001,0.001,0.001,0,0.001,0.001,0.001
279,0.003,0.001,0.002,0.001,0.003,0.003,0.001,1.708,0.002,0.003,0.001,0.537,0.001,0.002,0.001,0,0.001,0.001,0.002,0.284,0,0.001,0.001,0.002,0.002,0.001,0.001,0.006,1.822,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001
280,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.497,0.002,0.002,0.002,0.002,2.506,0.002,0.001,0.489,0,0.001,0.001,0.001,0.936,0.001,0.001,0.001,2.17,0.001,0.001,0.001,0.605,0.001,0.001,0.001
281,0.001,0.001,0.001,1.642,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,1.491,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
282,0.003,0.002,0.002,3.259,0.003,0.002,0.002,1.89,0.001,0,0.001,0.001,0,0.002,0.002,0.001,1.161,0.002,0.002,0.003,0,0.002,0.002,0.002,0.831,0.002,0.002,0.002,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001
283,0.002,0.002,0.002,0,0.002,0.002,0.002,0.004,0.042,0.003,0.001,0.002,0,0.002,0.001,0.001,0,0.001,0.001,0.002,0.601,0.002,0.002,0.002,0.003,0.001,0.002,0.004,1.371,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001
284,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.002,0.001,0,0.002,0.002,0.002,0.551,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0,0.002,0.001,0.008,0.002,0.001,0.001,0.92,0.132,0.001,0.002,0.001,2.455,0.001,0.001
285,0.002,0.002,0.003,0.633,0.416,0.003,0.002,0.004,0.783,0.006,0.001,0.001,0.873,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0,0.001,0.001,0.001,0,0.002,0.001
286,0.001,0.001,0.001,0.002,0,0.001,0.001,0.009,0.05,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.832,0.001,0.001,0.002,0.15,0.001,0.001,0.001,0,0.001,0.001,0.001,0.473,0.002,0.001
287,0.001,0.001,0.001,0.001,1.558,0.001,0.001,0.001,0,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.437,0.211,0.002,0.002,0.001,0,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.053,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.002,0.001
288,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.605,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.001,0.001,0.435,0.001,0.001,0.001,0,0.002,0.001
289,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0.001,0.001,0.002,0,0.002,0.001,0.001,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.005,0.003
290,1.537,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,4.098,0.002,0.001,0.001,0,0.001,0.001,0.001,0.753,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,2.592,0,0.002
291,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,3.647,0.001,0.001,0.001,0,0.001,0.001,0.001,3.632,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.928,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.006,0,0.001
292,0,0.002,0.002,0.001,0.656,0,0.002,0.001,0.002,0,0.001,0.002,0.001,0.916,0.001,0.001,0.001,0.646,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001
293,0,0.001,0.001,0.001,0.001,2.041,0.002,0.001,0.001,2.157,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.119,0.558,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.234,0.001,0.001,0.002,0.001,0.001,0.001,0.001,1.682,0.001
294,0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.002,0.001,0.001,0.448,0.001,0.001,0.001,0,0.001,0.001,0.001,0.949,0.001,0.001,0.001,0.363,0.001
295,0,0,0.001,0.001,0.001,4.056,0.001,0.002,0.003,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.937,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.175,0.001,0.001,0.001,0,0.001,0.001,0.001,1.019,0.001
296,0.99,0,0.001,0.002,0.001,0,0.002,0.001,0.002,1.469,0.001,0.001,0.001,3.082,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.102,0.001,0.002,0.002,0,0.001
297,0.002,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0.004,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.244,0.001
298,0.001,0,0.001,0.002,0.002,0.866,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.403,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.697,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.066,0.001
299,0.002,2.641,0.002,0.002,0.002,0.002,0.03,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.033,0.001,0.001,0.001,0.002,0.002,0.002,0.491,0,0.002,0.001,0.002,0.001
300,0.002,0,0.002,0.002,0.002,0.002,0.009,0.002,0.002,0.003,0.051,0.001,0.001,0.001,2.07,0.001,0.001,0.001,0,0.002,0.002,0.002,0.855,0,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.001,1.045,0.001,0.001,0.001,0.155
301,0.003,0.316,0.002,0.002,0.002,0.002,0.054,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.354,0.002,0.001,0.002,0,0,0.001,0.002,0.002,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.413
302,0.002,0.001,1.417,0.002,0.004,0.003,0.002,0.004,0.004,0.005,0.001,0.167,0.001,0.001,0.727,0.545,0.001,0.001,0.632,0,0.001,0.001,0.001,0,0.001,0.003,0.001,0.286,0.002,0.001,0.002,0.407,0.001,0.002,0.001,0.434,0,0.001,0.001,0.001
303,0.001,0,0,0,0.001,0,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.004,0,0.001,0.001,0.001,0.934,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0.002,0.002,0.001,0.001,0,0.001,0.002,0.001
304,0.003,0.002,0,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0.002,0.002,0.003,0.671,0.002,0.002,0.002,0.172,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.004,2.589,0.002,0.002,0.002
305,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.517,0.002,0.005,0.002,0.52,0.001,0.002,0.002,1.637,1.134,0.001,0.001,0.589,0.148,0.001,0.001,0.01,0.002,0.002,0.001,0.001,0.282,0.002,0.002,0.002,0.484,0.002,0.003,0.001
306,0.001,0.001,5.08,0.001,0.002,0.001,0.002,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.352,0,0.001,0.001,0.11,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.511,0.001,0.001,0.001
307,0.002,0.002,0.231,0.02,0.002,0.002,0.002,0,0.002,0.002,0.001,0,0.002,0.002,0.002,0.002,0.008,0.001,0.002,0.001,1.356,0.001,0.001,0.001,0,0.001,0.001,0.001,0.706,0.001,0.001,0.001,0,0.001,0.001,0.001,0.523,0.001,0.002,0.001
308,0.002,0.002,0.228,0,0.002,0.001,0.002,3.063,0.002,0.004,0.001,0.696,0,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.74,0.002,0.002,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,3.381,0.001,0.001,0.001,0.008,0.001,0.001,0.001
309,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.003,0.002,0.002,0,0.002,0.002,0.001,0,0.002,0.002,0.002,0.292,0.001,0.002,0.001,0,0.001,0.002,0.002,1.318,0.001,0.001,0.001,1.004,0.001,0.001,0.001,0.001,0,0.002,0.001
310,0.002,0.001,0.002,3.344,0.001,0.002,0.001,1.751,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.003,0.001,0,0.001,0.001,0.001,3.787,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001
311,0.002,0.003,0.003,1.117,0.002,0.002,0.002,0.558,0.069,0.004,0.002,0.002,0.988,0.001,0.001,0.001,0,0.002,0.002,0.002,1.582,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.408,0.002,0.002,0.002,0.001,0,0.002,0.001
312,0.003,0.003,0.004,0.002,0.002,0.003,0.002,0.266,0.002,0.002,0.002,0.001,0.029,0.002,0.002,0.001,0,0.001,0.001,0.001,0,0,0.001,0.001,1.117,0,0.001,0.002,0.001,0.001,0.001,0.002,0,0.002,0.002,0.002,0.002,2.184,0.003,0.001
313,0.002,0.002,0.002,0.002,0,0.004,0.002,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1.749,0.002,0.001,0.002,0.328,0,0.002,0.002,0.005,2.121,0.002,0.002,0.002,0.002,0.001,0.001,0.205,0.003,0.002,0.002,0.001,0,0.002,0.001
314,0.001,0.001,0.001,0.002,0,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.008,0.208,0.003,0.002,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,6.152,0.003,0.001
315,0.001,0.002,0.002,0.002,1.689,0.001,0.002,0.001,0.003,0.002,0.001,0.001,0.001,0,0.001,0.001,0.001,0.756,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,2.976,0.001,0.001,0.001,0,0.001,0.002,0.002,0.372,0.001,0.001
316,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.001,0.001,0.001,0.791,0.002,0.001,0.001,0,0.001,0.001,0.001,3.34,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.772,0.001,0.001
317,0,0.006,0.007,0.002,0,0.003,0.003,0.003,0.005,0.106,0.001,0.001,0.001,2.439,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.002,0.002,0.002,0,0.002,0.002,0.002,3.065,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0,0.001
318,0,0.001,0.002,0.002,2.573,0.002,0.002,0.003,0.002,0.003,0.001,0.001,0.001,2.962,0.001,0.001,0.001,0,0.001,0,0.002,5.803,0.002,0.001,0.002,0.323,0.002,0.001,0.002,0.235,0.001,0.001,0.001,4.443,0.001,0.001,0.001,1.073,0,0.001
319,1.275,0.002,0.002,0.001,0.323,0.002,0.001,0.001,0.002,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.328,0.001,0.001,0.001,0.137,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001
320,0.009,0.002,0.002,0.002,0.002,0.032,0.002,0.003,0.001,0.592,0.002,0.002,0.002,3.431,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0,0.002,0.002,0.001,0.002,0.002,0.002,0.474,0.483,0.001,0.001,0.596,0.001,0.001,0.001,0.002,3.44,0.001
321,0.763,0.002,0.003,0.001,0.001,0.897,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,1.132,0.001,0.001,0.001,0.172,0.001,0.001,0.001,0,0.001
322,0,0.001,0.002,0.002,0.002,2.036,0.002,0.002,0.002,0.469,0.001,0.002,0.001,0,0.002,0.002,0.002,0.002,0.981,0.002,0.002,0.001,3.094,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001
323,0.328,0,0.002,0.001,0.002,0,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.51,0.001,0.001,0.001,0.002,0,0.001,0.001,0.001,1.723,0.001,0.001,0.001,0.737,0.002,0.002,0.001,0.632,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.61,0.048
324,0.002,0,0.001,0.001,0.002,0.523,0.002,0.002,0.002,0.002,0.113,0.001,0.001,0.177,0,0.001,0.001,0.001,3.58,0.001,0.001,0.001,0,0.001,0.001,0.001,0.269,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0,0.001,0.001,0.001,0.002,0.457
325,0.001,0.869,0.002,0.003,0.001,0.001,0,0.002,0.002,0.002,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.451,0,0.001,0.001,0.001,0
326,0.001,0.001,0.001,0.001,0.001,0.115,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.642,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0
327,0.006,0.002,0.003,0.003,0.002,0.003,3.319,0.003,0.002,0.004,1.585,0.001,0.001,0.001,4.997,0.001,0.001,0.001,0,0.001,0.002,0.003,0.94,0.001,0.002,0.003,0.001,0.001,0.003,0.002,0.001,0.141,0.001,0.001,0.001,0,0.001,0.001,0.001,0
328,0.004,0.001,0,0.002,0.001,0.003,0.414,0.002,0.002,0.005,0.002,0.002,0.003,0.004,1.145,0.002,0.002,0.003,1.08,0,0.001,0.001,0.004,0,0.001,0.001,0.001,0,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0,0.001,0.002,0.003,0
329,0.002,0.002,2.581,0.002,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.002,0.005,0.002,0.002,0.001,0.006,1.767,0.001,0.001,0.001,1.858,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.002,0.005,0.002,0.77,0.015,0.002,0.003,0.822
330,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.001,0.001,0.001,0.931,0.001,0.001,0.001,0,0.002,0.001,0.001,0,0.003,0.002,0.002,1.524,0.001,0.002,0.001,0.978,0.001,0.001,0.001,0.087,0.001,0.001,0.001,0.001
331,0.002,0.002,4.348,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.003,0.661,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002
332,0.001,0.001,2.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.186,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.707,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0,0.001,0.002,0.003
333,0.002,0.002,0.501,0.002,0.002,0.003,0.002,0,0.002,0.003,0.002,5.511,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.864,0,0.001,0.001,0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.184,0.001,0.001,0.001
334,0.001,0.001,0.416,1.27,0.001,0.001,0.001,0,0.002,0.003,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.481,1.476,0.001,0.001,0.726,0.305,0.001,0.001,3.307,0.001,0.001,0.001,0.141,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
335,0.001,0.002,0.002,0,0.001,0.003,0,1.394,0.002,0.003,0.001,0.343,0.002,0.002,0.002,0.019,0.002,0.002,0.002,0.002,0.847,0.001,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0.001,2.814,0.001,0.001,0.001,0.224,0.001,0.001,0.001
336,0.001,0.001,0.002,0,0.002,0.002,0.001,0.178,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,3.947,0,0.001,0.001,0.001,3.463,0.001,0.001,0.001,0.001,0.001,0.001,0.001
337,0.003,0.003,0.003,0.488,0.002,0.003,0.002,0.012,1.057,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.714,0.001,0.001,0.001,0,0.001,0.001,0.388,0,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
338,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.002,0.002,0.003,0.002,4.348,0.002,0.002,0.002,0.62,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.014,0.002,0.001
339,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.863,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.364,0.003,0.001,0.002,0.002,0.001,0.002,0.002,0.431,0.05,0.004,0.002,0.002,0.002,0.003,0.002
340,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0,0.001,0.001,0.002,0.002,0.002,0.002,0.001,1.559,0.002,0.001,0.002,0.002,0.8,0.002,0.003,0.003,1.063,0.001,0.002,0.002,0.001,0.001,0.001,0.06,0,0.001,0.001,0.001,0,0.002,0.001
341,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.441,0.004,0.001,0.001,0.001,0.002,0.002,0.002,0,0.002,0.002,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.966,0.001,0.002,0.001,0,0.001,0.001
342,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.172,0.001,0.002,0.001,0.061,0.002,0.002,0.002,0.285,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001
343,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.106,1.857,0.001,0.001,0.002,0.002,0.002,0.002,0.001,1.318,0.001,0.001,0.001,1.957,0.001,0.001,0.002,0.642,0.001,0.002,0.001,1.942,0.002,0.001,0.001,0,0.001,0.002,0.002,0.497,0.001,0.001
344,0,0.001,0.001,0.001,0.931,0.001,0.001,0.002,0.001,2.009,0.001,0.001,0.001,0.952,0.001,0.001,0.001,1.523,0.001,0.001,0.001,0,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.39,0.001,0.001,0.001,0,0.001,0.001,0.001,0.276,0.001,0.001
345,2.812,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.002,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,2.646,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.188,0.001,0.001
346,3.686,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,1.126,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.001,0.001,1.403,0.001,0.001,0.002,1.295,0.002,0.001,0.001,0.002,0,0.001
347,0,0.001,0,0.001,0.001,0.873,0.001,0,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.001,0.642,0.001,0.001,0.001,0.559,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.006,0.001,0.002,0.002,0.003,0.002,0.001,0.001,0.001,1.061,0.001
348,1.037,0.043,0.001,0.001,0.001,0.001,0.001,0.001,0.002,1.451,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.149,0.001,0.002,0.004,0.017,0.002
349,0.385,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.436,0.001,0.001,0,0,0.001,0.001,0,0.17,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.428,0.001,0.002,0.002,0,0.001,0.002,0.002,0,0.001,0.002,0.004,0,0.002
350,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.017,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.004,0.002,0.002,0,0.001,0.001,0.001,1.033,0.001,0.001,0.001,0,0.001
351,0.001,0,0.001,0.001,0.001,0,0,0.002,0.001,0.002,0.002,0.001,0.002,0,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0.19,0.002,0.001,0.001,0.307,0.001,0.001,0.002,1.155,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.689,0.035
352,0.001,0.935,0.001,0.002,0.001,0.777,2.013,0.002,0.001,0.001,0.001,0.001,0.001,0.849,0.737,0.001,0.001,0.001,0,0.001,0.001,0.001,1.046,0.002,0.001,0.001,0,0.001,0.001,0.002,0.304,0.001,0.002,0.001,0.001,0.003,0.002,0.002,0.018,0.295
353,0.002,0.339,0.001,0.001,0.002,0,0,0.002,0.002,0.002,0,0.001,0.002,0.003,0.055,0.002,0.002,0.003,0,0.001,0.001,0.002,1.326,0.002,0.001,0.001,0.526,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0,2.072,0.001,0.001,0.001,0.89
354,0.004,0.077,0.041,0.003,0.004,0.371,0.847,0.012,0.002,0.004,1.122,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6.757,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.601,0,0.001,0.001,0.001,0.001
