journal_ops,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,398218,398916,388169,370556,393884,427955,301430,424410,385573,435983,336873,379366,368354,438331,460128,349114,378958,343658,445076,394324,372480,374981,420088,431357,377802,353668,388116,491449,360752,413582,351142,357944,392419,416018,401078,383882,374372,450456,445264,344331
11,398265,398951,388193,370596,393922,427991,301462,424452,385573,436027,336906,379404,368395,438365,460176,349143,378992,343686,445115,394353,372524,375004,420139,431402,377836,353693,388144,491494,360774,413620,351173,357975,392463,416054,401114,383921,374403,450456,445319,344359
12,398265,398951,388193,370596,393922,427991,301462,424452,385573,436027,336906,379404,368395,438365,460176,349143,378992,343686,445115,394353,372524,375004,420139,431402,377836,353693,388144,491494,360774,413620,351173,357975,392463,416054,401114,383921,374403,450456,445319,344359
13,398265,398951,388193,370596,393922,427991,301462,424452,385573,436027,336906,379404,368395,438365,460176,349143,378992,343686,445115,394353,372524,375004,420139,431402,377836,353693,388144,491494,360774,413620,351173,357975,392463,416054,401114,383921,374403,450456,445319,344359
14,398265,398951,388193,370596,393922,427991,301462,424452,385573,436027,336906,379404,368395,438365,460176,349143,378992,343686,445115,394353,372524,375004,420139,431402,377836,353693,388144,491494,360774,413620,351173,357975,392463,416054,401114,383921,374403,450456,445319,344359
15,398265,398951,388193,370596,393922,427991,301462,424452,385573,436027,336906,379404,368395,438365,460176,349143,378992,343686,445115,394353,372524,375004,420139,431402,377836,353693,388144,491494,360774,413620,351173,357975,392463,416054,401114,383921,374403,450456,445319,344359
16,398354,399089,388318,370718,394039,428128,301561,424591,385573,436100,337017,379533,368515,438482,460301,349264,379103,343764,445227,394482,372664,375108,420263,431538,377950,353793,388272,491629,360863,413712,351290,358072,392578,416171,401204,384035,374513,450938,445414,344439
17,398354,399163,388383,370765,394125,428194,301598,424682,385573,436232,337080,379589,368572,438540,460396,349348,379191,343837,445300,394539,372719,375178,420332,431593,378031,353857,388340,491704,360932,413712,351353,358118,392637,416237,401206,384111,374594,451323,445414,344486
18,398354,399188,388407,370782,394143,428210,301614,424698,385573,436258,337099,379603,368587,438540,460416,349371,379210,343848,445316,394560,372739,375197,420354,431606,378050,353873,388355,491726,360947,413833,351362,358137,392656,416262,401207,384129,374615,451339,445439,344499
19,398354,399259,388465,370818,394202,428271,301656,424756,386046,436322,337158,379646,368637,438540,460485,349411,379252,343892,445370,394611,372813,375237,420424,431641,378121,353913,388412,491784,361005,413833,351415,358197,392719,416263,401207,384181,374661,451393,445439,344544
20,398354,399262,388471,370824,394212,428278,301666,424770,386079,436337,337173,379671,368650,438561,460507,349428,379266,343912,445386,394632,372831,375256,420448,431657,378142,353930,388439,491815,361018,413833,351432,358209,392740,416263,401207,384202,374674,451416,445439,344565
21,398372,399285,388494,370852,394237,428278,301684,424797,386105,436359,337188,379691,368667,438561,460539,349449,379291,343931,445407,394654,372852,375286,420451,431685,378159,353947,388456,491843,361038,413833,351457,358230,392755,416263,401207,384220,374693,451432,445556,344586
22,398372,399324,388537,370892,394281,428349,301706,424838,386140,436402,337223,379720,368708,438561,460591,349481,379321,343965,445426,394686,372883,375308,420451,431718,378185,353983,388484,491874,361069,413995,351487,358261,392802,416386,401207,384248,374725,451465,445556,344611
23,398717,399395,388597,370974,394352,428417,301767,424906,386213,436482,337259,379784,368775,438561,460656,349564,379406,344022,445426,394755,372964,375383,420543,431803,378258,354040,388501,491967,361132,414027,351541,358330,392888,416475,401294,384281,374788,451551,445806,344642
24,398791,399509,388703,371076,394460,428438,301834,425013,386293,436585,337358,379888,368860,438932,460656,349652,379483,344096,445426,394837,373049,375451,420564,431908,378342,354113,388507,492093,361234,414169,351613,358397,392969,416559,401596,384281,374859,451661,445900,344642
25,398820,399521,388720,371095,394478,428561,301834,425047,386319,436620,337377,379908,368873,438963,460656,349665,379500,344120,445426,394866,373075,375482,420564,431935,378382,354135,388620,492148,361259,414216,351644,358434,393001,416596,401640,384281,374891,451702,445939,344656
26,398820,399521,388720,371095,394478,428561,301834,425047,386319,436620,337377,379908,368873,438963,460656,349665,379500,344120,445426,394866,373075,375482,420564,431935,378382,354135,388620,492148,361259,414216,351644,358434,393001,416596,401640,384281,374891,451702,445939,344656
27,398948,399616,388846,371216,394616,428695,301834,425208,386440,436769,337502,379989,369007,439098,460656,349761,379611,344197,445794,394937,373164,375593,420679,432047,378481,354224,388795,492267,361342,414311,351751,358540,393118,416730,401753,384281,375004,451855,446088,344893
28,398948,399616,388847,371219,394627,428710,301834,425213,386452,436792,337527,379989,369029,439110,460656,349777,379629,344228,445826,394937,373174,375604,420819,432063,378503,354260,388829,492299,361398,414345,351773,358551,393147,416749,401768,384281,375021,451878,446121,344908
29,398998,399687,388866,371257,394658,428749,302010,425252,386489,436837,337567,379989,369077,439172,460656,349820,379664,344270,445869,394937,373222,375644,420860,432105,378552,354288,388856,492375,361439,414386,351807,358587,393193,416792,401800,384282,375060,451928,446163,344944
30,399105,399775,388866,371341,394753,428836,302075,425334,386574,436950,337647,379989,369140,439249,460682,349883,379735,344334,445955,394938,373294,375725,420938,432172,378613,354344,388914,492417,361501,414474,351862,358650,393255,416853,401859,384671,375130,451997,446241,344993
31,399162,399827,388866,371403,394830,428918,302116,425399,386630,437005,337700,379989,369197,439308,461176,349883,379804,344387,446036,394938,373364,375812,421011,432252,378673,354416,388974,492417,361566,414557,351929,358728,393279,416931,401940,384736,375196,452073,446318,345053
32,399164,399829,388866,371406,394831,428920,302116,425399,386631,437005,337700,379990,369199,439308,461178,349883,379806,344387,446037,394938,373364,375812,421016,432252,378674,354418,388976,492417,361568,414559,351930,358729,393279,416932,401940,384738,375197,452074,446321,345054
33,399179,399845,388866,371426,394849,428933,302124,425413,386649,437025,337709,379990,369213,439326,461196,349973,379814,344395,446058,394938,373376,375824,421026,432268,378691,354430,388996,492417,361586,414578,351948,358749,393281,416952,401953,384757,375210,452097,446344,345065
34,399242,399918,388866,371489,394913,429023,302164,425434,386701,437075,337776,380205,369273,439407,461285,350043,379857,344449,446121,395271,373435,375883,421084,432329,378742,354491,389064,492417,361645,414638,351998,358808,393343,416999,402007,384813,375254,452159,446409,345115
35,399297,399972,388867,371562,394975,429098,302224,425434,386770,437132,337816,380359,369305,439445,461325,350089,379915,344499,446182,395315,373435,375954,421129,432329,378796,354547,389115,492417,361694,414708,352027,358854,393408,417072,402074,384884,375318,452247,446475,345173
36,399389,400078,389289,371656,395070,429222,302312,425434,386863,437238,337903,380475,369352,439564,461455,350177,379932,344589,446268,395413,373435,376037,421197,432520,378863,354609,389198,492417,361754,414800,352131,358951,393537,417177,402187,384972,375418,452274,446576,345268
37,399410,400098,389306,371673,395092,429246,302322,425434,386876,437259,337923,380490,369352,439571,461468,350192,379933,344603,446295,395447,373475,376084,421237,432560,378914,354651,389242,492654,361754,414861,352139,358961,393546,417189,402196,385003,375426,452274,446614,345283
38,399433,400113,389313,371682,395107,429252,302323,425434,386876,437269,337927,380491,369352,439587,461477,350199,379933,344617,446312,395458,373475,376094,421244,432578,378922,354662,389258,492749,361754,414872,352145,358968,393559,417202,402212,385017,375436,452274,446627,345296
39,399561,400243,389410,371772,395226,429379,302405,425655,386876,437390,338020,380581,369352,439708,461572,350285,379933,344700,446421,395521,373507,376135,421284,432619,378959,354693,389298,492969,361818,414913,352224,359036,393659,417281,402297,385105,375508,452319,446725,345356
40,399742,400423,389571,371919,395408,429545,302545,426003,387100,437531,338170,380758,369687,439915,461805,350434,380144,344847,446637,395720,373660,376273,421444,432812,379127,354837,389461,493156,362030,415008,352414,359199,393819,417484,402474,385262,375672,452319,446933,345509
41,399799,400490,389654,372022,395475,429647,302606,426071,387209,437664,338237,380855,369786,440001,461903,350508,380374,344847,446743,395833,373736,376302,421579,432955,379236,354921,389599,493325,362150,415008,352504,359308,393938,417611,402584,385380,375823,452455,447075,345617
42,399839,400526,389684,372047,395492,429665,302620,426091,387249,437690,338255,380879,369806,440001,461933,350534,380401,344950,446775,395878,373968,376302,421644,433003,379279,354958,389648,493391,362197,415008,352534,359334,393970,417640,402620,385410,375843,452455,447107,345646
43,399928,400687,389825,372182,395627,429839,302732,426254,387399,437862,338379,381029,369934,440001,462101,350669,380523,345083,446951,396017,374071,376302,421728,433107,379368,355045,389737,493511,362277,415008,352670,359460,394116,417792,402763,385544,375991,452736,447192,345760
44,399928,400687,389825,372182,395627,429839,302732,426254,387399,437862,338379,381029,369934,440001,462101,350669,380523,345083,446951,396017,374136,376302,421811,433163,379432,355111,389806,493605,362331,415442,352670,359460,394116,417792,402763,385544,375991,452736,447192,345763
45,400106,400786,389936,372274,395714,429934,302778,426370,387493,437918,338462,381116,370013,440001,462214,350758,380619,345141,447055,396111,374155,376302,421835,433182,379443,355129,389823,493628,362347,415466,352729,359548,394224,417896,402812,385638,376071,453076,447193,345827
46,400172,400960,390118,372448,395891,430097,302896,426575,387661,437918,338597,381302,370182,440518,462397,350908,380779,345276,447260,396278,374322,376716,422003,433353,379610,355280,389985,493829,362485,415638,352872,359699,394400,418081,402812,385805,376231,453320,447268,345972
47,400306,401002,390154,372486,395940,430097,302928,426623,387698,437918,338618,381332,370209,440546,462445,350941,380820,345308,447285,396318,374390,376814,422078,433482,379717,355400,390078,493990,362604,415773,352904,359736,394438,418120,402812,385845,376274,453388,447268,346018
48,400306,401002,390154,372486,395940,430097,302928,426623,387698,437918,338618,381332,370209,440546,462445,350941,380820,345308,447285,396318,374390,376814,422078,433482,379717,355400,390078,493990,362604,415773,352904,359736,394438,418120,402812,385845,376274,453388,447268,346018
49,400351,401042,390192,372531,395975,430097,302963,426667,387738,437918,338648,381363,370250,440575,462497,350983,380856,345335,447321,396358,374390,376814,422078,433482,379717,355400,390078,493990,362604,415773,352940,359770,394477,418158,402962,385889,376316,453435,447268,346041
50,400476,401156,390311,372644,396090,430190,303048,426754,387834,438205,338754,381477,370354,440704,462628,351079,380964,345429,447321,396478,374429,376852,422164,433514,379759,355424,390109,494049,362644,415816,353044,359889,394578,418271,403175,385982,376410,453549,447375,346108
51,400606,401250,390446,372750,396212,430190,303117,426895,387961,438470,338874,381608,370466,440843,462733,351170,381069,345516,447604,396580,374581,377015,422335,433707,379932,355582,390282,494270,362786,415994,353148,359989,394692,418409,403304,386110,376531,453713,447449,346190
52,400709,401250,390564,372867,396349,430286,303218,427029,388065,438611,338934,381707,370600,440965,462733,351299,381187,345622,447720,396697,374754,377209,422535,433926,380090,355723,390446,494481,362914,416166,353245,360088,394805,418531,403404,386110,376635,453850,447982,346192
53,400837,401264,390683,372984,396479,430738,303300,427181,388193,438754,339092,381860,370722,441094,462939,351386,381321,345733,447872,396805,374838,377289,422621,434021,380166,355783,390553,494584,363003,416223,353368,360166,394934,418689,403557,386257,376764,454003,448146,346192
54,400958,401618,390772,373086,396623,430865,303422,427285,388298,438883,339162,381968,370822,441197,463203,351421,381418,345819,447991,396822,374919,377397,422704,434022,380277,355863,390655,494662,363109,416403,353487,360166,395033,418798,403669,386389,376871,454122,448254,346477
55,400981,401672,390772,373120,396668,430900,303455,427334,388356,438927,339185,382003,370845,441235,463239,351421,381452,345851,448029,396822,375000,377466,422815,434047,380374,355944,390753,494662,363216,416492,353514,360319,395075,418853,403714,386389,376910,454164,448312,346556
56,400999,401695,390772,373137,396677,430907,303460,427344,388371,438940,339189,382006,370860,441248,463257,351422,381464,345863,448045,396822,375020,377487,422834,434047,380402,355955,390764,494662,363234,416514,353531,360319,395085,418864,403719,386430,376925,454174,448332,346568
57,401007,401703,390772,373155,396695,430916,303470,427380,388391,438971,339215,382036,370886,441270,463294,351422,381492,345884,448084,396822,375049,377521,422856,434047,380437,355972,390801,494662,363250,416558,353540,360319,395097,418885,403744,386575,376946,454197,448358,346594
58,401109,401840,390965,373266,396813,431045,303558,427421,388509,439083,339316,382057,370980,441385,463432,351595,381601,345980,448199,396822,375117,377573,422913,434256,380489,356025,390841,494662,363290,416594,353659,360443,395196,419013,403862,386701,377051,454320,448474,346677
59,401262,401955,391082,373371,396934,431188,303653,427421,388628,439219,339408,382057,371106,441535,463555,351751,381714,346092,448355,397149,375225,377705,423047,434477,380635,356105,390977,494915,363404,416704,353779,360550,395200,419122,404004,386831,377065,454480,448632,346803
60,401330,402031,391154,373435,397008,431272,303708,427421,388686,439293,339480,382057,371175,441619,463642,351808,381781,346162,448443,397335,375225,377776,423123,434565,380673,356216,391053,495252,363447,416841,353848,360614,395200,419187,404081,386896,377268,454559,448719,346870
61,401351,402045,391169,373446,397022,431298,303714,427421,388695,439310,339493,382060,371187,441633,463659,351818,381799,346173,448461,397345,375348,377808,423174,434624,380673,356249,391094,495328,363533,416882,353859,360629,395200,419208,404092,386912,377288,454580,448729,346876
62,401383,402091,391217,373477,397056,431337,303746,427444,388719,439335,339514,382278,371208,441663,463691,351848,381817,346191,448477,397371,375353,377809,423176,434632,380676,356251,391095,495330,363533,416884,353894,360662,395200,419242,404123,386940,377315,454596,448746,346887
63,401413,402119,391237,373513,397104,431393,303770,427444,388758,439378,339534,382387,371208,441700,463743,351882,381840,346232,448534,397403,375404,377868,423237,434730,380676,356303,391162,495414,363533,416959,353914,360698,395201,419274,404176,386979,377356,454642,448809,346923
64,401484,402209,391320,373572,397172,431469,303836,427635,388789,439444,339595,382461,371208,441784,463822,351931,381840,346293,448618,397474,375404,377925,423298,434775,380678,356349,391221,495478,363595,416984,353971,360769,395578,419337,404255,387065,377416,454642,448898,346986
65,401564,402277,391390,373578,397237,431554,303884,427811,388789,439521,339662,382535,371208,441851,463900,352002,381985,346361,448687,397552,375553,378010,423394,434909,380754,356428,391295,495612,363738,417097,354039,360836,395667,419382,404325,387132,377485,454642,448990,347037
66,401678,402401,391483,373578,397353,431662,303990,428092,388789,439631,339774,382638,371487,441981,464042,352091,382099,346471,448829,397658,375598,378097,423523,435023,381009,356509,391397,495756,363810,417216,354156,360949,395798,419382,404449,387265,377600,454642,449109,347115
67,401726,402464,391537,373807,397357,431712,304031,428157,388895,439689,339826,382698,371536,442044,464123,352133,382153,346519,448896,397714,375711,378112,423593,435090,381060,356525,391456,495859,363871,417279,354220,361007,395859,419421,404506,387328,377662,454654,449166,347159
68,401729,402467,391543,373814,397357,431728,304034,428170,388895,439706,339829,382701,371538,442057,464135,352138,382165,346531,448907,397723,375717,378112,423611,435098,381066,356584,391463,495876,363877,417288,354224,361012,395861,419423,404518,387332,377676,454655,449177,347170
69,401789,402514,391588,373860,397357,431783,304078,428221,389115,439767,339877,382758,371600,442121,464191,352170,382216,346586,448958,397764,375766,378112,423661,435160,381102,356618,391496,495925,363906,417336,354268,361066,395917,419423,404568,387377,377719,454655,449218,347199
70,401789,402515,391589,373860,397357,431787,304078,428229,389127,439769,339879,382761,371600,442122,464195,352171,382228,346589,448964,397775,375775,378112,423673,435174,381114,356643,391520,495957,363925,417362,354272,361069,395918,419423,404575,387385,377728,454655,449233,347218
71,401843,402658,391705,373982,397357,431918,304172,428375,389262,439769,339994,382877,371719,442237,464347,352291,382346,346699,449088,397892,375886,378112,423796,435318,381238,356759,391633,496090,364024,417363,354363,361198,396041,419793,404685,387488,377829,455244,449365,347309
72,401843,402747,391798,374097,397688,432008,304243,428465,389369,439769,340066,382988,371831,442346,464473,352392,382441,346699,449206,397992,375985,378412,423914,435437,381336,356858,391739,496219,364121,417363,354460,361302,396147,419948,404701,387599,377916,455364,449365,347406
73,401843,402769,391809,374120,397706,432021,304254,428481,389379,439769,340117,383041,371859,442403,464532,352417,382477,346795,449254,398027,375987,378416,423916,435441,381338,356860,391741,496221,364121,417363,354484,361322,396168,419971,404701,387613,377931,455374,449395,347424
74,401844,402855,391902,374196,397791,432090,304315,428573,389459,439769,340155,383082,371905,442417,464576,352475,382537,346868,449316,398088,376075,378484,423990,435500,381418,356917,391814,496305,364171,417671,354521,361386,396245,420067,404896,387682,378009,455462,449395,347484
75,401844,402882,391922,374226,397819,432090,304341,428612,389499,439769,340181,383100,371935,442417,464612,352498,382574,346900,449326,398115,376113,378518,424035,435545,381462,356961,391815,496364,364208,417730,354521,361405,396271,420090,404896,387708,378026,455502,449619,347505
76,402227,402912,392001,374308,397890,432090,304394,428679,389570,440011,340243,383182,372006,442417,464659,352566,382634,346959,449326,398182,376178,378604,424105,435634,381513,357023,391815,496437,364257,417790,354582,361478,396353,420157,404896,387797,378091,455612,449692,347569
77,402248,402912,392029,374325,397916,432090,304420,428711,389594,440261,340281,383215,372043,442417,464659,352593,382678,346996,449326,398214,376226,378648,424154,435688,381565,357064,391815,496486,364307,417846,354582,361494,396387,420195,404896,387839,378122,455641,449703,347591
78,402279,402912,392065,374365,397951,432090,304444,428753,389630,440296,340318,383255,372072,442639,464659,352623,382712,347019,449326,398251,376267,378673,424193,435715,381598,357088,391816,496524,364353,417886,354697,361526,396419,420233,404896,387845,378146,455675,449757,347630
79,402370,402918,392151,374440,398071,432249,304524,428862,389728,440420,340343,383365,372161,442749,464764,352700,382818,347097,449327,398354,376366,378767,424303,435821,381683,357171,392092,496630,364433,417976,354775,361613,396511,420336,405159,387850,378223,455772,449867,347685
80,402422,402918,392195,374504,398129,432249,304566,428930,389773,440490,340434,383418,372214,442807,464764,352755,382873,347148,449715,398416,376434,378831,424333,435875,381743,357239,392156,496711,364504,418041,354832,361661,396584,420424,405229,387850,378278,455842,449951,347685
81,402497,402918,392267,374579,398194,432537,304625,429012,389853,440583,340512,383494,372286,442903,464764,352831,382950,347206,449801,398502,376531,378901,424457,435875,381803,357318,392233,496817,364584,418089,354887,361733,396655,420498,405309,387850,378363,455947,450039,347837
82,402602,403267,392275,374657,398266,432620,304692,429080,389897,440650,340571,383551,372344,442969,464891,352842,382996,347249,449857,398502,376598,378965,424527,435875,381846,357369,392279,496853,364638,418132,354951,361733,396712,420578,405404,388056,378417,456028,450112,347892
83,402625,403368,392275,374682,398313,432668,304717,429132,389943,440713,340607,383563,372398,443023,465124,352847,383054,347301,449932,398502,376645,379045,424586,435875,381933,357435,392331,496898,364715,418222,354981,361733,396772,420615,405459,388056,378478,456082,450180,347933
84,402723,403453,392357,374758,398395,432772,304771,429256,390032,440833,340664,383573,372457,443097,465229,352931,383111,347356,449998,398502,376720,379118,424650,435875,382005,357486,392397,496898,364772,418296,355046,361934,396855,420706,405532,388314,378527,456164,450251,347992
85,402806,403526,392549,374823,398454,432853,304819,429272,390100,440920,340739,383597,372551,443208,465363,353082,383208,347452,450130,398503,376814,379200,424750,435876,382092,357558,392479,497167,364869,418407,355123,362008,396959,420798,405603,388389,378549,456254,450349,348074
86,402972,403681,392701,374981,398617,433016,304919,429272,390211,441073,340841,383873,372664,443337,465480,353190,383304,347521,450247,398753,376918,379321,424872,436032,382181,357653,392590,497305,364926,418522,355236,362097,397030,420910,405735,388494,378689,456384,450474,348154
87,403072,403782,392803,375074,398722,433131,305004,429273,390348,441192,340904,383970,372733,443469,465592,353256,383376,347607,450352,398968,376982,379409,424971,436386,382181,357753,392684,497431,364926,418649,355310,362168,397030,421014,405829,388599,378779,456498,450576,348252
88,403125,403807,392842,375074,398758,433161,305031,429273,390383,441226,340943,384018,372781,443529,465667,353302,383435,347666,450405,399053,376982,379451,425022,436578,382213,357809,392752,497505,364927,418699,355364,362214,397030,421067,405881,388650,378839,456553,450653,348303
89,403132,403812,392850,375074,398762,433165,305038,429273,390387,441231,340955,384034,372784,443552,465688,353325,383453,347687,450426,399082,376982,379475,425041,436600,382259,357824,392778,497523,364927,418724,355387,362230,397145,421077,405905,388670,378862,456574,450677,348317
90,403260,403960,392993,375074,398913,433300,305152,429800,390469,441351,341043,384140,372815,443662,465799,353420,383505,347779,450541,399155,376983,379586,425197,436726,382286,357932,392878,497645,365091,418822,355488,362329,397348,421170,405991,388769,378961,456632,450762,348391
91,403320,404040,393057,375074,398993,433376,305212,429908,390469,441474,341126,384250,372815,443803,465940,353505,383608,347882,450670,399290,377046,379659,425307,436834,382563,358029,392970,497764,365288,418951,355557,362409,397462,421266,406130,388870,379080,456632,450893,348481
92,403442,404186,393198,375440,399092,433487,305292,430012,390469,441591,341211,384356,372815,443904,466063,353588,383661,347938,450755,399341,377331,379762,425405,436941,382635,358110,393047,497886,365380,419042,355630,362495,397562,421344,406224,388962,379129,456632,450945,348534
93,403548,404327,393308,375592,399258,433650,305419,430201,390469,441796,341331,384500,373247,444085,466288,353764,383906,348131,450984,399569,377516,379906,425600,437129,382812,358256,393227,498108,365532,419246,355804,362656,397724,421414,406442,389142,379344,456632,451188,348723
94,403552,404331,393310,375595,399260,433652,305422,430203,390469,441802,341333,384502,373252,444088,466289,353764,383924,348136,450990,399573,377518,379908,425602,437131,382819,358256,393229,498114,365533,419250,355805,362660,397727,421414,406445,389145,379348,456632,451192,348726
95,403553,404331,393313,375596,399261,433653,305423,430204,390470,441805,341334,384504,373253,444089,466291,353764,383927,348136,450990,399575,377519,379908,425603,437132,382821,358256,393229,498115,365533,419250,355806,362661,397727,421415,406447,389145,379349,456633,451192,348726
96,403663,404500,393483,375745,399277,433810,305515,430346,390773,441920,341430,384618,373378,444191,466415,353867,384035,348194,451104,399659,377654,380034,425756,437253,382948,358256,393335,498258,365626,419377,355908,362762,397845,421415,406568,389234,379445,456976,451272,348801
97,403663,404579,393589,375829,399507,433915,305598,430480,391096,441946,341509,384727,373482,444191,466579,353962,384170,348263,451261,399834,377759,380155,425885,437400,383063,358256,393478,498411,365759,419505,356014,362871,397945,421552,406677,389347,379574,457409,451431,348945
98,403668,404596,393604,375844,399524,433932,305605,430506,391120,441946,341525,384739,373499,444214,466602,353979,384181,348348,451300,399853,377773,380173,425909,437421,383081,358256,393490,498440,365770,419516,356033,362887,397967,421552,406700,389360,379593,457442,451449,348957
99,403668,404705,393699,375921,399608,433991,305658,430593,391174,441946,341579,384799,373562,444215,466684,354037,384232,348427,451370,399901,377837,380225,425984,437484,383136,358542,393551,498507,365826,419555,356106,362949,398035,421651,406747,389412,379653,457523,451509,349004
100,403668,404742,393759,375976,399666,434072,305701,430645,391242,441947,341639,384861,373629,444215,466775,354086,384311,348487,451447,399974,377889,380295,426070,437569,383223,358608,393623,498607,365901,419661,356158,363005,398107,421950,406747,389473,379735,457596,451530,349069
