start_time,Messenger_pipe read message,osd op_enqueue op,osd op_dequeue_op,pg op_do request,filestore_journal started,journal_submit_entry,journal_prepare_single_write,filestore_writeahead journal finished,filestore_queued,journal_queued completion,pg op_sub_op_commit,filestore_op_apply_start,filestore__do_transactions start,pg op_simple submitting message,pg op_pipe writing message,filestore_op_apply_finish,filestore__finish_op,pg op_sub_op_applied,Messenger_message_destructed,pg op_message_destructed
185033,0.006,0.102,0.163,0.167,0.304,0.320,0.650,11.769,11.778,11.796,11.843,225.891,225.895,11.882,11.915,228.219,228.222,228.319,1072.121,46.311
185086,0.007,0.151,0.238,0.243,0.421,0.440,0.936,12.939,12.944,12.939,13.008,173.444,173.448,13.032,13.057,175.733,175.739,175.820,745.920,73.254
185164,0.005,0.081,0.157,0.159,0.258,0.267,0.833,16.498,16.503,16.492,16.577,228.463,228.467,16.600,16.627,230.826,230.828,230.856,942.275,23.807
185193,0.004,0.079,0.149,0.151,0.292,0.302,0.552,12.142,12.150,12.142,12.243,342.045,342.053,12.274,12.311,346.409,346.414,346.466,1347.168,19.044
185216,0.005,0.081,0.179,0.181,0.340,0.353,0.575,12.105,12.109,12.122,12.176,318.825,318.829,12.202,12.230,322.658,322.665,322.778,1039.235,88.498
185309,0.019,0.156,0.202,0.204,0.319,0.336,0.589,11.869,11.874,11.895,11.945,367.176,367.180,11.972,12.005,370.771,370.776,370.813,1502.874,215.614
185337,0.006,0.104,0.164,0.167,0.290,0.304,0.835,12.143,12.147,12.161,12.174,488.405,488.411,12.191,12.210,494.173,494.183,494.240,1760.435,64.865
185407,0.004,0.079,0.143,0.145,0.238,0.247,0.499,11.784,11.789,11.802,11.853,418.390,418.407,11.874,11.895,424.158,424.198,424.320,1404.944,93.853
185509,0.008,0.122,0.207,0.211,0.387,0.407,0.948,13.281,13.289,13.271,13.364,459.412,459.417,13.404,13.444,464.432,464.438,464.519,1588.815,64.238
185536,0.011,0.200,0.341,0.346,0.527,0.547,1.526,15.008,15.013,15.008,15.103,432.797,432.801,15.133,15.167,436.766,436.773,436.856,1419.065,40.827
185611,0.006,0.104,0.197,0.201,0.344,0.357,0.737,13.230,13.235,13.223,13.316,640.044,640.046,13.339,13.373,643.307,643.314,643.424,NULL,99.998
185720,0.007,0.101,0.221,0.225,0.374,0.390,0.835,12.429,12.435,12.429,12.502,531.760,531.762,12.536,12.576,535.247,535.252,535.335,1526.750,34.194
185767,0.007,0.111,0.242,0.246,0.440,0.458,1.027,14.210,14.218,14.202,14.288,626.026,626.028,14.329,14.400,629.468,629.473,629.561,NULL,21.673
185795,0.007,0.116,0.236,0.241,0.476,0.498,1.007,14.087,14.094,14.087,14.151,739.754,739.758,14.190,14.260,743.759,743.767,743.884,NULL,73.910
185875,0.007,0.116,0.210,0.214,0.390,0.408,0.975,12.863,12.872,12.878,12.968,660.186,660.191,13.002,13.045,664.486,664.491,664.577,NULL,75.795
185930,0.008,0.127,0.217,0.221,0.436,0.461,0.928,12.680,12.688,12.708,12.782,746.519,746.521,12.817,12.851,749.212,749.218,749.311,NULL,64.525
185957,0.009,0.132,0.260,0.264,0.448,0.466,0.976,13.929,13.938,13.936,14.008,719.517,719.519,14.044,14.126,722.343,722.346,722.368,NULL,124.084
186038,0.008,0.142,0.233,0.238,0.424,0.440,0.994,12.752,12.759,12.749,12.829,771.700,771.703,12.858,12.926,774.113,774.116,774.195,NULL,148.530
186165,0.008,0.115,0.247,0.252,0.424,0.443,0.995,12.967,12.974,12.967,13.047,786.149,786.151,13.088,13.160,789.688,789.693,789.782,NULL,48.688
186194,0.008,0.112,0.243,0.247,0.418,0.437,0.913,12.736,12.743,12.725,12.812,899.961,899.965,12.851,12.920,903.912,903.917,904.020,NULL,215.236
186220,0.008,0.154,0.279,0.284,0.453,0.471,1.025,14.337,14.345,14.357,14.408,874.195,874.199,14.447,14.520,878.085,878.092,878.169,NULL,217.464
186551,0.007,0.139,0.269,0.273,0.442,0.460,0.990,13.092,13.100,13.112,13.196,693.095,693.101,13.234,13.308,695.443,695.446,695.612,NULL,74.489
186630,0.006,0.114,0.172,0.175,0.287,0.305,0.668,12.321,12.326,12.323,12.393,613.381,613.385,12.417,12.443,615.670,615.708,615.818,NULL,214.004
186807,0.005,0.094,0.138,0.140,0.227,0.236,0.503,11.913,11.917,11.905,11.984,578.984,578.989,12.008,12.076,582.694,582.700,582.812,3455.232,214.342
187100,0.006,0.092,0.199,0.211,0.315,0.325,0.754,12.580,12.584,12.581,12.637,568.949,568.954,12.664,12.733,572.899,572.963,573.125,573.200,48.731
187155,0.007,0.119,0.254,0.257,0.407,0.422,0.903,12.998,13.008,13.001,13.122,514.001,514.006,13.166,13.245,518.149,518.154,518.266,518.317,213.969
187389,0.010,0.136,0.227,0.231,0.398,0.419,1.140,13.141,13.147,13.173,13.239,430.263,430.268,13.274,13.342,434.323,434.328,434.416,434.457,19.927
187643,0.008,0.136,0.261,0.266,0.474,0.495,1.047,13.061,13.078,13.093,13.176,317.588,317.590,13.215,13.285,321.088,321.093,321.178,321.219,214.144
187877,0.009,0.125,0.260,0.265,0.434,0.452,1.019,13.516,13.524,13.516,13.591,217.318,217.323,13.648,13.687,221.324,221.335,221.427,221.486,47.344
187905,0.005,0.070,0.118,0.120,0.277,0.297,0.555,12.247,12.251,12.262,12.288,331.091,331.096,12.308,12.327,334.986,334.993,335.124,335.208,216.152
187929,0.012,0.103,0.275,0.281,0.503,0.525,1.060,12.774,12.781,12.769,12.910,306.795,306.801,12.940,12.985,311.002,311.007,311.095,311.144,215.870
188512,0.008,0.137,0.275,0.279,0.447,0.465,0.918,12.340,12.347,12.331,12.404,12.373,12.375,12.425,12.491,16.292,16.342,16.439,16.520,72.687
188540,0.007,0.136,0.274,0.279,0.443,0.461,1.041,12.717,12.725,12.717,12.833,12.759,12.764,12.861,12.907,16.679,16.686,16.809,16.867,217.164
188591,0.007,0.111,0.232,0.236,0.409,0.423,0.873,12.542,12.549,12.524,12.610,12.579,12.582,12.635,12.708,16.443,16.450,16.535,16.593,213.875
188834,0.005,0.079,0.157,0.160,0.285,0.295,0.563,11.303,11.318,11.339,11.426,11.342,11.345,11.460,11.481,13.814,13.821,13.922,13.982,40.315
190573,0.008,0.139,0.276,0.280,0.457,0.475,0.894,11.645,11.649,11.636,11.678,11.693,11.695,11.697,11.743,15.309,15.357,15.467,15.527,20.119
190598,0.006,0.117,0.244,0.283,0.451,0.470,0.924,12.208,12.226,12.198,12.324,12.275,12.278,12.361,12.467,15.870,15.878,16.002,16.034,214.716
190751,0.008,0.120,0.240,0.244,0.436,0.456,0.995,11.990,11.995,11.991,12.098,12.011,12.013,12.128,12.174,15.345,15.377,15.490,15.537,196.172
190823,0.008,0.106,0.194,0.198,0.372,0.391,0.852,11.654,11.661,11.654,11.741,11.688,11.691,11.779,11.852,15.358,15.365,15.480,15.530,21.618
190851,0.008,0.119,0.252,0.256,0.420,0.438,0.733,14.638,14.644,14.637,14.728,14.710,14.714,14.767,14.825,18.332,18.396,18.510,18.550,47.999
190904,0.004,0.098,0.197,0.199,0.338,0.347,0.625,10.838,10.842,10.838,10.910,10.902,10.904,10.935,10.992,14.233,14.240,14.377,14.459,64.806
191031,0.013,0.110,0.155,0.158,0.250,0.259,0.502,10.946,10.950,10.936,10.999,10.963,10.965,11.023,11.043,13.331,13.339,13.484,13.553,80.595
191467,0.005,0.079,0.181,0.199,0.327,0.338,0.565,10.922,10.926,10.922,10.999,10.948,10.958,11.031,11.089,13.808,13.854,13.973,14.041,213.894
191750,0.006,0.077,0.127,0.130,0.242,0.253,0.501,11.426,11.431,11.411,11.479,11.451,11.464,11.520,11.589,14.391,14.396,14.443,14.488,214.999
191993,0.008,0.133,0.228,0.232,0.398,0.416,0.883,11.377,11.385,11.377,11.438,11.410,11.413,11.470,11.518,14.065,14.071,14.156,14.211,215.514
192021,0.008,0.116,0.248,0.252,0.423,0.441,0.898,11.826,11.833,11.826,11.887,11.896,11.900,11.913,11.983,15.630,15.637,15.749,15.818,215.791
192273,0.009,0.141,0.263,0.268,0.439,0.460,0.931,11.887,11.894,11.887,11.940,11.919,11.923,11.969,12.048,15.907,15.963,16.053,16.111,65.376
192345,0.008,0.139,0.230,0.234,0.400,0.419,0.946,11.836,11.843,11.836,11.908,11.880,11.886,11.935,11.974,15.418,15.424,15.531,15.601,212.213
192600,0.005,0.103,0.163,0.165,0.272,0.281,0.805,11.697,11.727,11.680,11.852,11.752,11.755,11.886,11.956,14.697,14.703,14.797,14.877,212.650
192629,0.009,0.136,0.261,0.267,0.475,0.497,0.955,11.589,11.598,11.609,11.657,11.629,11.634,11.688,11.727,15.286,15.292,15.363,15.435,215.863
192895,0.008,0.117,0.201,0.206,0.346,0.355,0.806,12.164,12.172,12.178,12.230,12.201,12.205,12.272,12.347,15.402,15.407,15.509,15.553,193.668
193068,0.008,0.133,0.254,0.259,0.465,0.487,1.054,12.280,12.287,12.272,12.392,12.314,12.317,12.421,12.499,16.179,16.241,16.360,16.439,45.512
193094,0.006,0.131,0.305,0.309,0.502,0.530,1.019,12.284,12.291,12.316,12.358,12.315,12.320,12.387,12.456,16.815,16.825,16.944,17.024,214.453
193334,0.008,0.146,0.232,0.237,0.411,0.429,0.950,12.386,12.402,12.435,12.463,12.458,12.462,12.496,12.530,14.949,14.958,15.082,15.171,43.901
193384,0.008,0.120,0.205,0.209,0.379,0.408,0.857,12.221,12.228,12.221,12.297,27.751,27.755,12.328,12.433,29.602,29.605,29.712,29.790,213.305
193969,0.008,0.136,0.265,0.269,0.437,0.459,0.969,12.436,12.443,12.436,12.503,12.506,12.511,12.531,12.602,16.504,16.513,16.628,16.696,216.311
194979,0.005,0.106,0.186,0.189,0.337,0.354,0.418,0.810,0.823,0.812,0.892,0.862,0.866,0.922,0.952,1.288,1.311,1.373,1.428,3.645
194983,0.003,0.083,0.154,0.158,0.292,0.310,0.405,0.640,0.645,0.645,0.696,0.668,0.671,0.714,0.743,1.050,1.054,1.131,1.194,3.436
194984,0.004,0.084,0.155,0.158,0.293,0.309,0.365,0.568,0.572,0.584,0.616,0.591,0.593,0.635,0.658,0.901,0.905,0.963,1.014,3.277
194988,0.003,0.081,0.159,0.162,0.292,0.309,0.371,0.607,0.612,0.600,0.656,0.631,0.633,0.675,0.700,0.909,0.932,0.975,1.017,18.012
194991,0.004,0.089,0.154,0.156,0.286,0.303,0.356,0.573,0.576,0.591,0.629,0.594,0.597,0.655,0.679,0.905,0.908,0.951,0.990,16.373
195006,0.003,0.082,0.167,0.170,0.311,0.329,0.391,0.610,0.614,0.611,0.667,0.631,0.634,0.698,0.722,1.028,1.032,1.098,1.139,6.414
195007,0.003,0.085,0.153,0.156,0.282,0.299,0.362,0.583,0.587,0.581,0.626,0.608,0.611,0.651,0.673,0.911,0.915,0.957,1.000,3.027
195010,0.003,0.080,0.165,0.170,0.341,0.359,0.412,0.630,0.635,0.627,0.681,0.652,0.654,0.707,0.728,0.964,0.984,1.025,1.068,3.940
195017,0.004,0.083,0.145,0.148,0.273,0.289,0.343,0.556,0.559,0.575,0.604,0.578,0.581,0.624,0.648,0.916,0.920,0.965,1.004,5.175
195024,0.004,0.081,0.149,0.152,0.280,0.305,0.356,0.555,0.560,0.563,0.617,0.579,0.582,0.647,0.668,0.911,0.929,0.977,1.013,14.912
195026,0.003,0.073,0.140,0.143,0.269,0.294,0.341,0.651,0.655,0.665,0.699,0.717,0.720,0.720,0.743,1.100,1.104,1.165,1.213,2.361
195029,0.003,0.083,0.145,0.148,0.278,0.294,0.344,0.570,0.574,0.577,0.619,0.591,0.593,0.638,0.663,0.951,0.972,1.025,1.066,1.569
195031,0.003,0.074,0.144,0.147,0.271,0.287,0.352,0.552,0.556,0.566,0.599,0.575,0.578,0.614,0.640,0.900,0.920,0.966,1.009,1.470
195032,0.003,0.076,0.154,0.157,0.291,0.309,0.354,0.571,0.575,0.565,0.625,0.589,0.591,0.647,0.674,0.902,0.906,0.959,0.997,3.109
195036,0.003,0.072,0.135,0.138,0.264,0.280,0.347,0.550,0.554,0.556,0.594,0.575,0.578,0.613,0.639,0.908,0.912,0.958,0.999,4.663
195040,0.003,0.078,0.175,0.179,0.327,0.345,0.385,0.586,0.591,0.600,0.637,0.612,0.615,0.656,0.681,0.924,0.943,0.991,1.045,1.572
195042,0.003,0.074,0.136,0.138,0.273,0.289,0.330,0.547,0.552,0.553,0.595,0.569,0.571,0.615,0.641,0.953,0.957,0.998,1.044,1.501
195043,0.003,0.075,0.141,0.144,0.273,0.290,0.332,0.552,0.556,0.570,0.608,0.577,0.580,0.630,0.657,0.921,0.924,0.964,1.008,6.214
195050,0.003,0.082,0.144,0.147,0.272,0.288,0.330,0.553,0.558,0.559,0.605,0.580,0.585,0.625,0.651,0.910,0.930,1.005,1.050,14.398
195051,0.004,0.082,0.151,0.154,0.283,0.300,0.345,0.551,0.555,0.560,0.599,0.570,0.572,0.619,0.639,0.944,0.948,0.986,1.042,4.725
195056,0.003,0.082,0.153,0.157,0.322,0.342,0.449,0.664,0.674,0.672,0.718,0.694,0.697,0.737,0.765,1.047,1.051,1.088,1.132,6.366
195062,0.003,0.085,0.169,0.173,0.355,0.373,0.431,0.666,0.671,0.683,0.721,0.702,0.705,0.743,0.765,1.043,1.066,1.112,1.166,4.057
195064,0.003,0.088,0.150,0.153,0.292,0.309,0.373,0.609,0.613,0.628,0.665,0.634,0.637,0.685,0.713,0.959,0.979,1.022,1.066,3.807
195069,0.005,0.123,0.207,0.210,0.397,0.423,0.469,0.672,0.677,0.686,0.724,0.692,0.694,0.744,0.765,1.020,1.043,1.089,1.130,6.432
195075,0.003,0.106,0.211,0.214,0.355,0.372,0.427,0.633,0.638,0.649,0.684,0.657,0.661,0.703,0.725,0.997,1.017,1.066,1.118,2.297
195078,0.004,0.155,0.225,0.228,0.361,0.378,0.420,0.705,0.711,0.694,0.781,0.755,0.760,0.800,0.819,1.148,1.152,1.200,1.245,206.394
195309,0.005,0.079,0.158,0.161,0.301,0.318,0.432,0.700,0.707,0.716,0.760,0.729,0.733,0.779,0.804,1.146,1.169,1.211,1.247,207.827
197035,0.005,0.085,0.162,0.166,0.303,0.321,0.416,0.740,0.747,0.756,0.818,0.809,0.813,0.851,0.916,1.227,1.249,1.327,1.383,7.232
197040,0.004,0.089,0.191,0.195,0.337,0.354,0.418,0.652,0.657,0.656,0.707,0.691,0.694,0.727,0.750,1.082,1.086,1.149,1.192,3.879
197042,0.003,0.109,0.193,0.195,0.330,0.346,0.416,0.670,0.674,0.671,0.739,0.708,0.712,0.771,0.815,1.134,1.138,1.204,1.252,35.476
197048,0.010,0.093,0.177,0.180,0.318,0.336,0.389,0.608,0.612,0.610,0.669,0.629,0.633,0.698,0.722,1.017,1.039,1.107,1.156,38.376
197084,0.005,0.087,0.182,0.186,0.324,0.341,0.401,0.631,0.637,0.632,0.690,0.657,0.660,0.722,0.749,1.104,1.108,1.158,1.209,3.546
197086,0.003,0.083,0.177,0.181,0.361,0.378,0.423,0.641,0.645,0.644,0.691,0.678,0.680,0.711,0.735,1.037,1.060,1.111,1.151,11.663
197088,0.003,0.080,0.168,0.171,0.313,0.330,0.380,0.641,0.645,0.639,0.736,0.696,0.701,0.772,0.797,1.140,1.168,1.217,1.266,4.303
197092,0.003,0.082,0.151,0.154,0.288,0.305,0.359,0.595,0.601,0.586,0.648,0.615,0.617,0.674,0.699,0.972,0.975,1.032,1.078,4.095
197096,0.003,0.084,0.180,0.183,0.303,0.317,0.371,0.588,0.592,0.581,0.658,0.618,0.621,0.692,0.716,1.046,1.050,1.097,1.141,4.226
197098,0.003,0.083,0.163,0.165,0.303,0.319,0.370,0.588,0.595,0.618,0.654,0.625,0.627,0.691,0.716,0.990,1.010,1.058,1.117,4.494
197105,0.003,0.066,0.159,0.163,0.302,0.319,0.421,0.698,0.705,0.706,0.764,0.721,0.723,0.787,0.821,1.020,1.043,1.087,1.162,3.168
197109,0.003,0.093,0.171,0.173,0.289,0.303,0.358,0.565,0.569,0.574,0.627,0.585,0.587,0.645,0.668,0.887,0.905,0.949,1.010,2.828
197111,0.002,0.048,0.104,0.106,0.216,0.230,0.279,0.489,0.493,0.504,0.537,0.524,0.526,0.564,0.584,0.848,0.851,0.894,0.942,1.970
197114,0.003,0.075,0.123,0.125,0.237,0.251,0.302,0.572,0.579,0.581,0.652,0.618,0.620,0.675,0.704,0.983,1.006,1.065,1.127,2.271
197117,0.003,0.063,0.116,0.118,0.238,0.252,0.297,0.480,0.484,0.488,0.530,0.513,0.524,0.550,0.576,0.897,0.901,0.965,1.039,2.970
197119,0.004,0.082,0.135,0.137,0.247,0.262,0.303,0.510,0.514,0.521,0.559,0.536,0.538,0.572,0.590,0.792,0.813,0.878,0.929,5.944
197120,0.003,0.086,0.143,0.145,0.250,0.264,0.299,0.529,0.533,0.551,0.588,0.554,0.556,0.607,0.636,0.913,0.936,0.994,1.028,6.176
197125,0.003,0.086,0.152,0.155,0.282,0.299,0.353,0.574,0.583,0.600,0.639,0.600,0.603,0.662,0.698,0.907,0.910,0.945,1.000,4.957
197126,0.003,0.104,0.186,0.190,0.329,0.346,0.410,0.628,0.632,0.642,0.675,0.646,0.648,0.690,0.715,1.031,1.036,1.090,1.142,6.701
197130,0.004,0.121,0.190,0.193,0.326,0.343,0.385,0.639,0.645,0.650,0.714,0.662,0.664,0.733,0.751,1.037,1.062,1.115,1.179,8.657
197133,0.004,0.155,0.226,0.230,0.388,0.412,0.467,0.672,0.678,0.686,0.729,0.695,0.698,0.747,0.775,2.075,2.099,2.148,2.189,3.648
197154,0.003,0.070,0.138,0.142,0.271,0.288,0.338,0.536,0.540,0.551,0.586,0.555,0.558,0.615,0.637,0.917,0.921,0.986,1.028,1.469
197155,0.003,0.081,0.147,0.150,0.283,0.300,0.359,0.567,0.571,0.579,0.615,0.602,0.604,0.636,0.662,0.960,0.964,1.016,1.060,13.595
197164,0.010,0.091,0.157,0.161,0.296,0.313,0.379,0.589,0.594,0.613,0.642,0.609,0.611,0.664,0.688,0.945,0.971,1.022,1.068,12.762
197169,0.004,0.138,0.216,0.219,0.332,0.345,0.427,0.644,0.649,0.660,0.695,0.664,0.666,0.718,0.745,1.002,1.026,1.086,1.147,1.505
197170,0.003,0.087,0.183,0.186,0.308,0.322,0.392,0.608,0.612,0.623,0.660,0.642,0.645,0.680,0.706,1.011,1.015,1.069,1.120,2.952
197173,0.003,0.083,0.155,0.161,0.270,0.284,0.361,0.586,0.591,0.604,0.642,0.605,0.607,0.663,0.690,0.973,0.977,1.030,1.097,5.466
197181,0.004,0.083,0.156,0.159,0.267,0.281,0.334,0.551,0.556,0.567,0.604,0.571,0.573,0.625,0.659,0.921,0.925,0.995,1.040,2.078
197190,0.004,0.077,0.144,0.146,0.276,0.292,0.342,0.557,0.561,0.573,0.621,0.610,0.612,0.637,0.656,0.892,0.895,0.936,0.973,3.448
197194,0.002,0.047,0.112,0.114,0.234,0.254,0.287,0.495,0.497,0.506,0.532,0.509,0.510,0.564,0.583,0.792,0.794,0.837,0.897,5.881
197198,0.002,0.067,0.132,0.133,0.220,0.231,0.280,0.491,0.496,0.507,0.544,0.526,0.528,0.573,0.592,0.796,0.831,0.882,0.940,3.998
197200,0.007,0.054,0.148,0.151,0.282,0.299,0.341,0.571,0.575,0.585,0.630,0.589,0.591,0.662,0.684,0.861,0.877,0.928,0.976,12.164
197202,0.002,0.066,0.109,0.111,0.199,0.210,0.260,0.453,0.459,0.466,0.490,0.470,0.472,0.503,0.521,0.833,0.837,0.890,0.940,3.944
197206,0.003,0.086,0.179,0.184,0.358,0.380,0.437,0.658,0.663,0.676,0.710,0.677,0.679,0.733,0.763,1.046,1.050,1.102,1.163,4.371
197211,0.002,0.069,0.124,0.130,0.218,0.229,0.260,0.474,0.478,0.486,0.513,0.488,0.489,0.528,0.547,0.710,0.727,0.760,0.808,4.893
197212,0.002,0.053,0.098,0.100,0.185,0.197,0.233,0.426,0.429,0.436,0.461,0.439,0.440,0.474,0.494,0.657,0.673,0.705,0.749,8.788
197219,0.004,0.087,0.153,0.156,0.289,0.306,0.369,0.597,0.601,0.609,0.652,0.618,0.621,0.672,0.694,0.992,0.996,1.058,1.101,3.086
197221,0.003,0.083,0.150,0.154,0.322,0.343,0.398,0.604,0.613,0.618,0.656,0.631,0.633,0.677,0.704,0.998,1.024,1.065,1.118,3.744
197222,0.003,0.081,0.160,0.163,0.309,0.325,0.374,0.617,0.621,0.637,0.667,0.635,0.638,0.687,0.726,0.976,1.000,1.047,1.091,4.426
197227,0.003,0.069,0.138,0.141,0.262,0.279,0.329,0.540,0.544,0.556,0.595,0.561,0.565,0.615,0.637,0.975,0.979,1.046,1.111,2.944
197230,0.003,0.081,0.150,0.154,0.310,0.327,0.376,0.576,0.586,0.589,0.632,0.601,0.604,0.652,0.671,0.931,0.956,1.032,1.085,7.321
197237,0.003,0.082,0.152,0.155,0.307,0.325,0.382,0.589,0.593,0.607,0.639,0.608,0.611,0.658,0.681,0.991,0.994,1.044,1.127,203.991
