object_ctx_cache_hit,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
10,787544,553171,632625,486211,462302,504737,430925,1016741,1017042,870653,1133901,980166,603960,529907,769161,492717,452569,811448,355177,560786,591750,5084614,680166,1067731,722083,3226574,769938,4047816,1456271,972762,613750,1010980,854580,758779,1068556,664149,266961,583321,1861156,575322
11,787765,553273,632817,486292,462590,504833,431144,1016774,1017158,870879,1134144,980226,604270,530065,769542,492780,452614,811572,355317,560977,591961,5084828,680222,1067819,722163,3226647,770060,4047848,1456341,972820,614026,1011056,855038,758911,1068661,664312,267000,583536,1861196,575543
12,787930,553334,633186,486370,462924,504907,431279,1016889,1017355,870949,1134198,980505,604390,530149,769692,492864,452760,811647,355557,561143,592007,5085124,680430,1068214,722309,3226724,770317,4047981,1456397,973028,614129,1011149,855293,758990,1068749,664419,267086,583699,1861258,575633
13,788006,553421,633357,486561,463030,504974,431363,1017126,1017416,871028,1134272,980682,604479,530242,769776,492935,452822,811728,355696,561280,592061,5085204,680627,1068438,722476,3226795,770402,4048128,1456467,973141,614200,1011241,855419,759055,1068823,664525,267234,583766,1861326,575764
14,788095,553509,633434,486657,463105,505065,431434,1017221,1017509,871100,1134347,980766,604586,530315,769910,493002,452923,811794,355801,561367,592130,5085290,680717,1068530,722552,3226847,770630,4048204,1456530,973208,614287,1011307,855502,759152,1068906,664684,267292,583824,1861412,575846
15,788187,553570,633516,486730,463242,505134,431493,1017385,1017561,871150,1134421,980843,604679,530426,770007,493074,453011,811887,355883,561514,592190,5085356,680786,1068607,722624,3226917,770721,4048269,1456591,973281,614359,1011394,855575,759240,1068981,664741,267371,583912,1861490,575938
16,788261,553626,633579,486805,463318,505192,431537,1017433,1017612,871222,1134498,980911,604770,530544,770078,493179,453090,811982,355969,561601,592258,5085437,680857,1068697,722704,3227031,770869,4048334,1456646,973358,614435,1011445,855661,759339,1069064,664839,267443,583967,1861581,576005
17,788340,553709,633640,486882,463398,505250,431618,1017483,1017674,871314,1134580,980990,604843,530671,770160,493245,453198,812016,356079,561687,592333,5085523,680933,1068794,722806,3227110,770966,4048413,1456717,973444,614512,1011513,855728,759431,1069148,664893,267523,584037,1861631,576077
18,788415,553788,633752,486949,463491,505318,431683,1017556,1017749,871352,1134622,981083,604938,530733,770266,493341,453286,812087,356133,561778,592398,5085613,681013,1068883,722902,3227183,771040,4048478,1456787,973511,614590,1011583,855801,759528,1069228,664964,267607,584098,1861728,576187
19,788495,553855,633817,487018,463542,505406,431766,1017639,1017801,871433,1134703,981135,605001,530819,770319,493407,453374,812122,356201,561849,592459,5085690,681095,1068970,722989,3227268,771116,4048544,1456854,973573,614673,1011666,855862,759591,1069321,665042,267667,584168,1861798,576289
20,788587,553937,633893,487123,463625,505485,431837,1017700,1017872,871488,1134770,981233,605117,530888,770408,493484,453464,812199,356290,561935,592532,5085767,681175,1069050,723070,3227343,771180,4048617,1456917,973638,614748,1011740,855962,759681,1069417,665138,267732,584250,1861885,576366
21,788675,554005,633974,487204,463706,505557,431884,1017781,1017991,871540,1134855,981313,605195,530973,770501,493583,453526,812267,356364,562006,592586,5085840,681253,1069159,723157,3227410,771273,4048694,1457002,973736,614838,1011802,856048,759762,1069503,665211,267807,584345,1861999,576455
22,788752,554087,634050,487272,463787,505626,431966,1017842,1018070,871622,1134919,981390,605286,531058,770593,493678,453626,812327,356450,562090,592640,5085929,681345,1069246,723247,3227475,771349,4048781,1457061,973825,614952,1011895,856119,759872,1069603,665320,267901,584412,1862061,576548
23,788844,554158,634132,487356,463856,505723,432039,1017914,1018163,871722,1134991,981467,605364,531150,770655,493744,453695,812398,356528,562180,592710,5085997,681432,1069336,723321,3227588,771442,4048856,1457097,973912,615036,1011962,856189,759989,1069667,665406,267979,584479,1862138,576613
24,788925,554230,634216,487445,463920,505782,432116,1017995,1018242,871768,1135040,981555,605466,531220,770743,493827,453768,812456,356587,562251,592774,5086071,681498,1069398,723414,3227648,771515,4048920,1457166,973976,615106,1012031,856247,760098,1069748,665477,268076,584576,1862199,576712
25,789001,554287,634270,487519,463992,505873,432195,1018020,1018343,871871,1135107,981620,605547,531300,770824,493889,453842,812516,356645,562340,592833,5086157,681564,1069482,723482,3227734,771612,4048978,1457238,974043,615175,1012110,856323,760224,1069813,665559,268154,584633,1862297,576770
26,789095,554369,634361,487592,464051,505960,432268,1018098,1018418,871944,1135193,981692,605657,531382,770901,493965,453902,812630,356708,562444,592898,5086203,681641,1069574,723548,3227813,771677,4049031,1457311,974149,615248,1012185,856399,760312,1069897,665617,268213,584705,1862355,576840
27,789179,554455,634434,487672,464139,506024,432363,1018170,1018500,872051,1135263,981770,605749,531473,770994,494071,453995,812656,356768,562509,592953,5086284,681720,1069660,723666,3227882,771766,4049093,1457357,974238,615322,1012259,856498,760428,1069977,665693,268302,584757,1862446,576933
28,789270,554543,634512,487752,464223,506107,432423,1018242,1018608,872128,1135333,981849,605845,531563,771061,494145,454071,812739,356853,562618,593028,5086381,681788,1069758,723730,3227944,771867,4049167,1457436,974325,615404,1012317,856557,760493,1070045,665754,268349,584832,1862502,576992
29,789363,554606,634606,487843,464298,506184,432508,1018340,1018707,872204,1135397,981912,605911,531649,771159,494203,454149,812825,356910,562709,593082,5086463,681880,1069861,723790,3228027,771958,4049235,1457470,974380,615475,1012380,856646,760582,1070121,665825,268422,584902,1862616,577085
30,789459,554703,634687,487912,464388,506267,432576,1018408,1018770,872267,1135481,981995,605996,531723,771219,494283,454221,812867,357002,562797,593137,5086558,681954,1069949,723880,3228083,772034,4049317,1457532,974471,615561,1012472,856722,760654,1070200,665923,268504,585012,1862677,577184
31,789541,554786,634786,487962,464454,506331,432662,1018482,1018881,872368,1135529,982078,606083,531800,771295,494369,454332,812927,357074,562879,593207,5086629,682013,1070047,723955,3228179,772108,4049370,1457601,974577,615628,1012547,856814,760733,1070277,665978,268602,585071,1862746,577233
32,789630,554862,634877,488027,464578,506398,432715,1018558,1018978,872455,1135605,982146,606159,531880,771398,494440,454381,813016,357146,562934,593270,5086699,682075,1070147,724064,3228248,772175,4049437,1457695,974676,615703,1012613,856874,760834,1070376,666061,268652,585145,1862843,577321
33,789707,554926,634936,488092,464674,506462,432779,1018652,1019052,872518,1135676,982235,606262,531968,771459,494521,454442,813071,357210,562996,593338,5086791,682162,1070245,724130,3228328,772284,4049533,1457734,974743,615805,1012716,856942,760898,1070462,666152,268744,585207,1862946,577422
34,789805,554994,635008,488178,464759,506557,432852,1018727,1019123,872578,1135746,982318,606355,532046,771561,494593,454537,813143,357282,563085,593384,5086863,682211,1070322,724220,3228393,772333,4049590,1457791,974810,615894,1012806,857024,760998,1070557,666209,268827,585271,1863027,577533
35,789878,555050,635098,488266,464833,506624,432920,1018787,1019177,872621,1135813,982404,606429,532128,771627,494680,454611,813197,357356,563166,593449,5086940,682301,1070409,724302,3228469,772420,4049677,1457865,974889,615965,1012899,857106,761097,1070613,666294,268913,585350,1863096,577641
36,789945,555111,635175,488348,464886,506680,432972,1018862,1019241,872707,1135891,982483,606515,532215,771695,494756,454698,813257,357427,563273,593503,5087001,682395,1070487,724356,3228540,772508,4049750,1457931,974968,616051,1012978,857185,761150,1070671,666372,268987,585391,1863147,577692
37,790019,555167,635246,488425,464966,506745,433056,1018923,1019317,872763,1135947,982551,606608,532264,771776,494824,454772,813334,357502,563338,593577,5087080,682455,1070580,724431,3228622,772575,4049822,1457985,975044,616103,1013024,857246,761224,1070765,666432,269036,585473,1863220,577772
38,790098,555259,635320,488516,465052,506813,433115,1018978,1019419,872828,1136020,982609,606675,532321,771840,494871,454829,813380,357566,563407,593631,5087139,682506,1070650,724520,3228705,772639,4049892,1458041,975128,616180,1013082,857321,761312,1070839,666502,269120,585546,1863286,577870
39,790169,555322,635414,488604,465126,506895,433190,1019053,1019506,872903,1136101,982686,606752,532414,771928,494949,454891,813440,357657,563469,593691,5087208,682571,1070726,724587,3228798,772733,4049957,1458094,975228,616262,1013208,857401,761379,1070912,666566,269188,585622,1863376,577939
40,790232,555396,635505,488656,465208,506982,433272,1019119,1019592,872971,1136172,982767,606822,532500,771986,495003,454952,813504,357736,563535,593745,5087301,682641,1070800,724674,3228856,772818,4050015,1458152,975296,616354,1013270,857463,761437,1070969,666628,269270,585682,1863436,578022
41,790313,555459,635586,488756,465297,507056,433335,1019184,1019677,873046,1136245,982855,606907,532587,772071,495080,455020,813558,357775,563608,593807,5087389,682719,1070912,724739,3228938,772900,4050065,1458207,975377,616407,1013361,857537,761492,1071052,666696,269327,585738,1863519,578117
42,790379,555533,635651,488828,465384,507138,433408,1019263,1019762,873135,1136332,982939,606983,532668,772161,495174,455120,813631,357841,563704,593865,5087469,682791,1071000,724820,3229005,772975,4050128,1458291,975463,616478,1013437,857615,761594,1071136,666784,269394,585812,1863598,578169
43,790463,555606,635697,488923,465457,507186,433474,1019333,1019868,873208,1136392,983014,607069,532744,772262,495262,455203,813698,357920,563781,593919,5087547,682866,1071102,724876,3229081,773071,4050206,1458348,975543,616564,1013496,857687,761693,1071196,666852,269453,585880,1863709,578261
44,790550,555683,635757,488973,465524,507253,433545,1019381,1019902,873288,1136476,983084,607156,532820,772343,495357,455291,813775,357988,563857,593969,5087641,682919,1071161,724959,3229175,773169,4050279,1458416,975642,616657,1013578,857757,761781,1071258,666921,269554,585949,1863783,578345
45,790623,555757,635855,489059,465596,507311,433646,1019472,1019982,873350,1136548,983168,607245,532906,772402,495417,455353,813823,358057,563949,594008,5087713,682971,1071242,725026,3229246,773210,4050334,1458482,975721,616739,1013653,857834,761896,1071345,667012,269620,586019,1863844,578418
46,790696,555822,635915,489142,465682,507394,433759,1019545,1020070,873444,1136609,983235,607335,532992,772468,495493,455410,813884,358152,564011,594075,5087773,683058,1071314,725085,3229318,773288,4050405,1458544,975793,616815,1013720,857924,762004,1071405,667083,269663,586071,1863930,578529
47,790780,555884,636014,489244,465767,507470,433807,1019618,1020155,873506,1136680,983292,607416,533063,772552,495575,455507,813934,358234,564094,594143,5087851,683134,1071400,725176,3229389,773365,4050477,1458607,975885,616888,1013787,857986,762099,1071512,667131,269737,586141,1864043,578641
48,790852,555966,636089,489318,465817,507549,433883,1019676,1020225,873566,1136755,983364,607503,533143,772622,495641,455547,814011,358290,564164,594216,5087948,683211,1071466,725276,3229446,773432,4050549,1458678,975974,616975,1013864,858067,762219,1071565,667233,269837,586219,1864099,578724
49,790932,556033,636141,489402,465916,507637,433968,1019738,1020313,873633,1136819,983445,607562,533227,772683,495721,455638,814055,358402,564236,594275,5088058,683306,1071574,725333,3229542,773522,4050627,1458751,976038,617060,1013944,858134,762314,1071680,667296,269926,586311,1864181,578822
50,791008,556112,636228,489496,466017,507685,434072,1019809,1020386,873705,1136890,983530,607655,533300,772773,495797,455723,814139,358440,564334,594332,5088147,683384,1071646,725421,3229584,773613,4050695,1458809,976114,617154,1014021,858220,762409,1071749,667391,270001,586406,1864269,578892
51,791074,556183,636327,489563,466097,507767,434125,1019870,1020487,873788,1136970,983619,607726,533396,772819,495859,455789,814195,358536,564384,594398,5088240,683472,1071752,725498,3229654,773733,4050764,1458869,976198,617245,1014091,858291,762498,1071834,667476,270080,586460,1864337,578995
52,791151,556265,636408,489647,466175,507830,434185,1019910,1020568,873870,1137040,983728,607839,533481,772919,495962,455885,814260,358603,564482,594450,5088315,683543,1071846,725582,3229718,773817,4050836,1458941,976275,617318,1014161,858366,762604,1071912,667569,270174,586530,1864432,579059
53,791241,556335,636484,489694,466246,507898,434260,1019973,1020635,873948,1137110,983807,607913,533565,773003,496029,455964,814329,358682,564574,594532,5088409,683625,1071952,725680,3229791,773920,4050913,1458995,976381,617397,1014234,858424,762692,1072004,667641,270233,586590,1864505,579146
54,791330,556409,636558,489781,466332,507968,434336,1020063,1020728,874034,1137166,983896,608013,533639,773060,496100,456050,814387,358741,564661,594595,5088497,683711,1072024,725762,3229859,774005,4050972,1459084,976444,617505,1014305,858502,762763,1072062,667724,270324,586665,1864579,579227
55,791407,556482,636636,489824,466417,508048,434405,1020157,1020813,874102,1137239,983955,608088,533732,773150,496170,456114,814471,358799,564747,594661,5088578,683798,1072096,725844,3229926,774093,4051036,1459146,976519,617590,1014370,858580,762844,1072161,667782,270403,586740,1864654,579325
56,791478,556564,636708,489911,466502,508111,434454,1020210,1020922,874198,1137318,984041,608195,533798,773233,496254,456184,814521,358882,564823,594719,5088653,683876,1072200,725955,3230034,774166,4051083,1459208,976604,617664,1014435,858625,762928,1072238,667857,270470,586777,1864722,579387
57,791552,556635,636755,489974,466567,508187,434512,1020286,1020963,874246,1137388,984116,608296,533860,773324,496377,456281,814580,358956,564946,594787,5088744,683953,1072269,726027,3230091,774226,4051167,1459274,976684,617742,1014514,858704,762991,1072308,667941,270563,586854,1864783,579462
58,791629,556705,636839,490052,466634,508255,434565,1020360,1021066,874300,1137468,984194,608388,533963,773400,496451,456370,814648,359041,565017,594851,5088828,684015,1072371,726107,3230188,774292,4051225,1459366,976786,617813,1014597,858782,763078,1072380,668029,270631,586944,1864849,579547
59,791710,556789,636895,490144,466705,508311,434627,1020404,1021128,874365,1137526,984263,608469,534051,773472,496514,456423,814711,359112,565108,594909,5088902,684111,1072483,726172,3230226,774392,4051332,1459408,976847,617897,1014694,858870,763162,1072474,668090,270683,586988,1864923,579606
60,791775,556864,636988,490209,466781,508380,434706,1020486,1021199,874439,1137596,984354,608539,534125,773539,496589,456510,814787,359196,565190,594968,5088971,684191,1072559,726257,3230307,774444,4051378,1459477,976927,617980,1014773,858942,763241,1072529,668177,270763,587070,1864993,579690
61,791849,556938,637056,490278,466868,508449,434768,1020551,1021266,874504,1137679,984435,608622,534231,773623,496652,456590,814847,359262,565257,595033,5089048,684258,1072644,726326,3230404,774526,4051440,1459525,976981,618040,1014852,859012,763309,1072620,668253,270827,587128,1865062,579772
62,791922,557008,637143,490366,466945,508537,434852,1020603,1021345,874612,1137748,984490,608697,534308,773703,496749,456699,814928,359354,565336,595087,5089135,684320,1072722,726404,3230496,774606,4051492,1459589,977068,618118,1014925,859093,763392,1072698,668316,270886,587195,1865156,579845
63,791989,557085,637221,490449,467020,508618,434929,1020713,1021442,874678,1137831,984579,608790,534388,773791,496859,456787,815035,359432,565424,595129,5089177,684398,1072777,726487,3230577,774663,4051572,1459683,977131,618205,1015005,859172,763480,1072780,668408,270962,587270,1865233,579933
64,792070,557164,637300,490517,467107,508692,435003,1020789,1021561,874748,1137897,984685,608880,534459,773854,496950,456871,815078,359503,565489,595181,5089261,684464,1072865,726571,3230671,774724,4051638,1459729,977207,618285,1015098,859237,763564,1072862,668479,271029,587330,1865313,580012
65,792131,557258,637389,490606,467155,508772,435070,1020859,1021635,874824,1137958,984742,608966,534554,773930,497013,456947,815137,359606,565571,595231,5089343,684522,1072923,726665,3230721,774783,4051683,1459818,977282,618353,1015185,859311,763643,1072930,668542,271088,587401,1865374,580087
66,792214,557356,637482,490700,467235,508849,435138,1020927,1021711,874916,1138018,984828,609055,534635,774009,497109,457008,815195,359666,565674,595306,5089432,684616,1073040,726734,3230797,774883,4051755,1459885,977369,618430,1015248,859370,763704,1073010,668618,271179,587480,1865454,580165
67,792307,557424,637569,490770,467312,508926,435200,1021033,1021823,874989,1138090,984905,609146,534727,774066,497165,457090,815273,359814,565739,595345,5089518,684687,1073148,726813,3230879,774961,4051824,1459958,977450,618506,1015312,859441,763779,1073102,668682,271241,587565,1865547,580232
68,792364,557520,637638,490847,467390,509029,435295,1021071,1021873,875074,1138167,984998,609241,534819,774116,497275,457180,815329,359843,565827,595424,5089594,684763,1073220,726896,3230957,775035,4051883,1460015,977533,618599,1015385,859523,763892,1073202,668763,271311,587641,1865613,580316
69,792436,557594,637728,490906,467499,509106,435349,1021160,1021971,875152,1138220,985068,609321,534890,774224,497356,457294,815398,359916,565917,595482,5089678,684848,1073325,726966,3231013,775112,4051979,1460070,977590,618693,1015457,859612,763994,1073269,668849,271385,587707,1865701,580423
70,792517,557675,637797,490993,467582,509197,435410,1021241,1022029,875195,1138274,985138,609409,534965,774301,497431,457367,815474,359984,566016,595538,5089770,684912,1073395,727038,3231109,775183,4052039,1460123,977673,618781,1015560,859666,764073,1073352,668915,271467,587763,1865768,580516
71,792577,557762,637858,491093,467656,509261,435472,1021290,1022101,875253,1138351,985211,609492,535041,774390,497507,457447,815539,360052,566077,595597,5089840,685004,1073486,727121,3231188,775277,4052097,1460214,977754,618854,1015626,859744,764169,1073402,668997,271558,587830,1865868,580578
72,792655,557850,637935,491161,467739,509343,435555,1021365,1022200,875344,1138410,985298,609604,535136,774481,497607,457558,815615,360153,566152,595656,5089944,685091,1073600,727208,3231288,775339,4052173,1460281,977840,618928,1015698,859808,764241,1073500,669054,271593,587931,1865965,580682
73,792744,557911,638002,491213,467807,509409,435620,1021439,1022294,875423,1138485,985364,609680,535210,774564,497680,457641,815706,360239,566261,595724,5090023,685180,1073697,727294,3231342,775422,4052244,1460340,977935,619028,1015765,859894,764325,1073590,669134,271693,587981,1866033,580763
74,792804,557997,638056,491288,467881,509496,435674,1021479,1022373,875490,1138555,985465,609783,535300,774657,497775,457722,815785,360326,566334,595784,5090139,685261,1073805,727335,3231408,775507,4052332,1460400,978012,619122,1015815,859975,764415,1073673,669205,271769,588046,1866121,580811
75,792883,558065,638159,491381,467956,509598,435750,1021567,1022478,875604,1138631,985537,609869,535384,774705,497870,457797,815825,360412,566412,595838,5090213,685316,1073897,727415,3231516,775570,4052399,1460465,978103,619202,1015905,860031,764497,1073748,669283,271856,588104,1866187,580928
76,792951,558137,638246,491471,468015,509658,435828,1021636,1022594,875640,1138684,985615,609946,535453,774793,497939,457860,815901,360482,566494,595914,5090287,685396,1073990,727492,3231605,775624,4052481,1460507,978172,619292,1015990,860121,764574,1073806,669364,271911,588186,1866240,580974
77,793017,558215,638284,491558,468066,509705,435906,1021694,1022643,875729,1138743,985698,610028,535519,774856,498005,457918,815959,360581,566562,595956,5090347,685454,1074083,727586,3231698,775705,4052546,1460559,978237,619375,1016063,860187,764643,1073875,669461,271990,588243,1866310,581041
78,793100,558284,638366,491642,468147,509790,435960,1021767,1022711,875802,1138809,985760,610108,535595,774922,498067,458011,816029,360644,566627,596012,5090448,685507,1074175,727661,3231741,775787,4052628,1460626,978328,619464,1016138,860257,764729,1073958,669536,272067,588336,1866400,581143
79,793177,558360,638483,491707,468233,509875,436028,1021840,1022799,875872,1138866,985823,610185,535655,774985,498129,458072,816112,360691,566697,596084,5090555,685610,1074272,727735,3231811,775857,4052693,1460682,978421,619554,1016197,860327,764813,1074020,669614,272145,588402,1866500,581223
80,793260,558433,638558,491795,468324,509945,436116,1021914,1022888,875976,1138933,985909,610261,535765,775062,498199,458149,816159,360781,566782,596144,5090624,685682,1074360,727821,3231875,775933,4052747,1460766,978521,619640,1016266,860413,764897,1074095,669702,272218,588481,1866556,581300
81,793341,558509,638619,491860,468389,510017,436177,1021999,1022981,876045,1139011,986004,610342,535843,775137,498297,458222,816230,360853,566873,596200,5090701,685751,1074433,727911,3231946,776000,4052782,1460831,978591,619712,1016340,860470,764973,1074168,669787,272279,588552,1866609,581392
82,793436,558587,638700,491931,468475,510116,436252,1022069,1023065,876114,1139093,986074,610413,535927,775203,498349,458295,816293,360919,566952,596262,5090806,685841,1074544,727992,3232001,776117,4052882,1460889,978675,619812,1016415,860550,765064,1074230,669886,272361,588615,1866669,581468
83,793503,558645,638777,492012,468557,510202,436287,1022146,1023157,876161,1139166,986135,610521,535994,775283,498414,458383,816374,361010,567027,596321,5090888,685916,1074629,728061,3232051,776195,4052923,1460954,978745,619901,1016495,860609,765130,1074289,669948,272402,588663,1866754,581528
84,793566,558723,638833,492091,468638,510265,436371,1022190,1023219,876239,1139226,986219,610605,536072,775368,498480,458471,816426,361051,567137,596397,5090984,685993,1074733,728186,3232108,776277,4053000,1461044,978823,619972,1016578,860674,765217,1074366,670009,272469,588760,1866846,581600
85,793648,558776,638926,492147,468704,510366,436417,1022293,1023311,876310,1139302,986293,610674,536156,775431,498563,458526,816484,361138,567210,596448,5091067,686077,1074825,728262,3232188,776343,4053085,1461120,978913,620042,1016655,860726,765283,1074460,670074,272519,588827,1866907,581686
86,793711,558859,638993,492209,468741,510422,436476,1022355,1023377,876378,1139393,986381,610768,536236,775520,498626,458605,816570,361212,567281,596507,5091152,686162,1074912,728334,3232277,776451,4053144,1461201,979015,620124,1016726,860836,765359,1074526,670176,272608,588895,1866991,581757
87,793776,558928,639095,492261,468816,510497,436548,1022423,1023437,876454,1139452,986446,610840,536306,775582,498701,458677,816624,361301,567386,596580,5091261,686240,1075017,728391,3232349,776540,4053247,1461247,979080,620216,1016806,860923,765461,1074613,670236,272696,588980,1867068,581848
88,793867,559010,639167,492342,468892,510576,436621,1022499,1023537,876567,1139517,986524,610951,536377,775655,498785,458784,816706,361344,567460,596635,5091319,686303,1075074,728475,3232430,776595,4053301,1461318,979144,620295,1016867,861006,765566,1074703,670324,272786,589035,1867142,581923
89,793938,559078,639245,492416,468965,510651,436692,1022565,1023602,876610,1139577,986589,611029,536462,775727,498837,458830,816777,361420,567529,596683,5091399,686399,1075150,728578,3232492,776681,4053374,1461376,979226,620374,1016963,861066,765623,1074800,670399,272839,589103,1867244,582026
90,793996,559158,639318,492509,469053,510720,436752,1022644,1023692,876666,1139642,986678,611132,536568,775814,498907,458917,816841,361503,567599,596735,5091486,686475,1075246,728660,3232574,776752,4053441,1461444,979325,620458,1017047,861145,765730,1074881,670474,272918,589192,1867303,582100
91,794070,559221,639400,492569,469133,510800,436830,1022701,1023754,876737,1139701,986748,611225,536630,775908,498995,458982,816905,361566,567676,596777,5091558,686537,1075323,728730,3232649,776838,4053521,1461509,979377,620545,1017117,861218,765824,1074950,670536,272996,589247,1867409,582180
92,794130,559288,639461,492661,469216,510879,436870,1022772,1023852,876854,1139766,986822,611304,536712,775960,499057,459075,816960,361624,567768,596844,5091634,686612,1075407,728802,3232741,776917,4053584,1461571,979464,620616,1017190,861293,765884,1075045,670606,273062,589297,1867428,582254
