op_queue_ops,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
17,14,11,10,4,0,8,0,0,3,11,0,1,13,0,7,0,17,2,5,2,1,59,2,3,2,12,8,0,7,5,7,6,0,0,7,3,14,26,3,1
18,6,0,10,1,0,8,7,5,3,11,0,11,2,13,4,3,1,16,14,1,1,4,15,2,6,11,7,0,0,16,9,2,11,7,1,1,30,3,0,11
19,0,2,5,8,6,1,17,2,9,12,5,1,0,6,9,1,0,2,3,5,0,3,0,26,4,1,4,0,0,9,2,11,1,4,1,21,36,5,2,13
20,2,13,6,2,6,5,4,0,10,11,12,0,37,6,7,1,18,2,1,7,0,5,8,13,4,3,6,0,0,9,46,8,15,9,1,0,1,0,6,1
21,0,7,14,5,14,18,0,9,15,1,1,0,6,14,0,0,6,0,1,10,0,1,5,0,9,0,6,0,0,21,16,14,1,14,8,2,4,0,5,4
22,0,3,3,3,4,1,3,6,11,2,1,8,8,6,3,0,0,0,0,3,0,0,5,7,33,2,4,0,3,1,11,1,3,1,11,0,4,0,4,2
23,15,12,3,2,7,5,7,8,10,8,18,3,1,7,6,1,8,0,4,1,2,9,10,0,0,4,0,1,2,3,8,0,32,39,1,7,3,6,0,2
24,2,46,0,1,1,0,7,8,10,1,0,0,22,20,8,0,11,10,12,11,0,8,8,2,11,1,9,2,1,0,3,13,1,3,2,4,10,10,2,2
25,3,35,6,6,0,36,6,0,22,37,0,1,9,1,0,0,3,0,1,2,0,8,3,34,12,19,1,4,0,2,7,13,7,5,5,8,1,30,6,9
26,8,4,13,2,10,3,16,0,6,5,0,0,5,9,2,5,3,1,4,0,6,1,0,48,0,8,12,12,0,5,6,1,2,1,12,4,2,0,0,19
27,7,10,6,8,8,6,8,11,3,11,0,12,10,10,0,9,2,5,1,0,2,6,0,1,6,7,4,10,0,7,3,10,0,4,0,1,0,29,2,5
28,1,84,3,1,5,9,0,56,6,8,0,0,0,0,5,1,0,0,1,0,1,0,0,1,1,11,3,54,2,1,10,1,12,3,12,1,1,32,0,27
29,5,1,3,1,2,3,12,14,3,12,0,6,1,0,15,0,0,0,3,14,0,20,2,2,1,2,10,6,1,3,3,1,2,1,3,20,52,0,1,9
30,13,2,1,14,6,5,4,9,6,19,0,0,6,8,7,2,0,1,0,10,5,0,6,9,5,11,3,0,1,5,3,1,0,5,13,1,0,1,4,1
31,35,0,3,1,0,2,5,12,2,20,0,19,12,9,11,1,0,0,0,1,1,1,9,8,0,1,3,1,4,7,6,4,3,6,3,0,0,6,1,3
32,17,17,0,0,0,6,33,3,7,1,1,21,6,9,2,0,17,11,16,0,2,6,2,6,0,2,4,0,0,16,16,7,0,1,2,0,4,1,1,3
33,18,0,43,1,10,0,5,8,3,4,3,11,1,1,5,0,6,5,15,0,6,7,6,2,0,0,13,5,1,10,8,0,10,0,0,1,16,3,4,39
34,3,11,28,3,6,21,5,11,8,16,8,0,4,0,2,19,1,4,1,0,0,1,0,1,5,0,1,1,0,6,0,18,4,7,6,2,4,2,17,8
35,2,12,3,19,10,0,11,0,9,0,1,25,7,9,0,4,1,0,3,3,1,0,1,5,0,0,4,0,0,0,8,1,0,2,98,17,0,1,2,17
36,21,2,49,1,0,80,2,1,59,4,1,0,0,5,21,6,0,8,3,11,0,1,0,11,8,0,2,1,1,0,1,20,2,3,1,0,20,7,1,6
37,6,50,0,8,8,0,1,0,13,15,3,0,2,4,3,11,0,8,6,2,13,2,6,7,1,1,0,1,0,0,4,39,0,12,4,8,14,0,3,5
38,9,68,9,8,5,4,0,3,7,10,0,3,0,2,0,9,5,0,17,5,0,1,9,0,10,2,27,0,8,0,17,73,1,6,10,15,0,1,0,5
39,4,55,8,5,7,3,1,13,1,10,0,17,5,8,1,3,1,0,3,5,18,10,6,1,0,0,26,1,0,8,3,4,5,1,8,2,2,2,5,9
40,9,10,27,5,4,8,1,0,3,6,5,3,7,0,8,2,8,0,5,5,1,10,4,11,1,0,0,4,1,6,14,24,1,3,3,0,0,8,1,1
41,29,1,10,2,10,10,3,0,16,11,0,3,9,1,9,0,1,10,1,0,0,1,2,3,6,0,10,0,13,4,15,5,4,2,2,1,0,4,2,2
42,2,16,1,0,7,11,0,15,10,0,1,6,10,0,1,0,1,0,3,11,4,4,4,5,0,10,1,0,6,2,2,17,1,1,0,2,7,5,4,20
43,23,2,0,2,12,17,19,28,5,10,1,0,22,0,14,17,5,6,3,1,0,10,1,14,5,9,5,0,36,6,0,5,0,0,0,2,4,5,11,11
44,7,30,5,13,10,3,0,8,10,11,6,13,1,3,1,8,1,10,0,0,9,11,11,16,1,8,57,2,3,4,10,9,2,1,0,0,18,1,8,10
45,3,4,0,1,5,2,8,0,14,17,0,3,30,1,12,4,10,11,0,0,1,8,1,40,9,3,3,1,7,13,3,16,0,3,31,0,6,1,0,0
46,16,31,2,7,3,3,10,0,3,1,8,1,2,12,6,1,3,8,1,10,0,0,8,15,12,2,1,2,1,5,0,0,23,4,4,8,3,0,28,4
47,2,17,63,6,5,17,4,4,7,27,11,16,12,0,12,0,9,0,9,17,0,5,0,21,0,7,8,1,7,5,12,7,9,0,5,8,13,20,0,39
48,4,0,1,6,3,1,0,2,8,83,0,13,6,10,16,12,5,2,0,1,0,0,10,1,3,5,1,5,9,12,9,1,2,9,0,12,11,44,3,0
49,3,16,11,7,14,21,5,3,16,1,0,1,0,1,5,21,12,0,0,2,6,8,11,2,8,0,5,1,11,2,12,0,4,5,14,7,25,7,10,4
50,9,20,0,4,10,3,0,1,6,13,0,1,1,3,0,13,1,4,1,3,9,3,10,6,9,7,1,14,2,3,17,1,2,2,0,0,0,2,6,4
51,0,2,13,12,8,3,7,10,14,3,0,0,1,12,0,1,0,10,7,2,3,0,0,1,0,11,0,0,0,16,3,4,3,2,0,1,3,1,14,6
52,8,46,4,0,9,1,7,7,4,2,0,33,18,1,9,0,8,10,1,0,4,7,8,0,15,1,17,91,3,4,4,8,2,2,0,1,3,0,0,28
53,38,20,3,12,5,2,0,0,4,0,1,6,8,3,2,1,23,8,6,14,2,23,9,17,3,4,14,38,2,0,29,7,2,0,0,1,0,4,16,0
54,5,6,12,0,1,4,4,2,4,0,3,1,13,0,3,5,1,4,41,18,1,0,15,26,0,3,0,0,5,9,24,2,7,0,5,4,10,8,0,5
55,16,0,9,6,47,25,8,1,3,63,0,4,7,5,8,22,21,8,0,6,3,5,5,25,4,0,0,0,10,0,2,0,0,14,2,1,2,16,1,5
56,0,2,15,5,7,19,6,5,2,23,0,2,2,5,0,4,14,0,0,0,0,3,0,0,6,23,3,21,0,2,20,2,1,15,0,1,5,0,0,0
57,1,13,0,2,12,0,4,1,3,4,0,1,0,20,4,13,3,7,5,8,1,34,1,4,1,5,6,1,0,7,4,0,1,0,0,9,3,0,31,3
58,1,2,11,0,8,4,12,4,1,1,2,0,5,6,3,0,0,1,0,61,0,1,0,22,1,6,0,7,0,1,22,3,8,1,12,17,4,1,22,3
59,6,7,3,1,7,18,2,0,16,5,0,0,8,9,8,0,0,5,0,10,1,2,2,2,3,11,1,1,1,1,3,22,3,10,12,0,4,27,1,1
60,0,5,13,14,1,0,2,2,1,7,15,1,11,9,6,0,5,0,1,1,0,1,0,3,4,0,5,1,2,15,0,2,3,3,21,29,2,0,12,2
61,30,0,18,1,13,2,23,0,1,14,1,0,0,0,4,7,0,17,1,2,3,1,1,22,7,3,1,1,1,1,13,0,0,2,7,1,12,50,14,13
62,1,26,8,48,0,74,0,0,2,6,1,0,1,0,7,10,0,8,7,1,12,2,36,3,2,8,14,0,9,9,4,5,24,6,7,0,1,0,146,4
63,1,2,12,1,8,0,1,0,3,44,9,3,15,3,6,2,8,2,1,0,3,8,0,19,0,6,1,8,0,0,4,3,3,9,22,72,4,15,11,1
64,12,0,53,6,0,14,1,0,1,27,21,0,3,3,3,4,4,10,0,8,7,0,13,17,4,1,8,0,0,11,7,3,2,1,4,11,0,20,2,13
65,8,6,6,14,4,11,24,1,7,1,1,6,2,0,10,1,2,1,19,0,0,1,1,6,44,0,0,1,0,2,23,3,1,1,1,1,4,0,10,2
66,25,16,2,7,13,1,3,6,2,1,0,8,4,12,0,1,8,5,2,0,4,2,4,5,1,16,12,1,0,9,5,1,3,10,1,14,0,11,0,9
67,9,4,51,7,6,1,1,0,7,2,1,4,10,6,1,0,1,0,1,3,1,5,3,23,9,1,8,0,0,14,18,4,0,6,0,6,1,1,0,0
68,1,3,10,6,3,8,3,6,10,3,0,0,2,3,0,2,0,1,0,6,1,5,26,11,4,1,5,1,0,12,2,0,9,15,0,1,0,1,0,0
69,1,2,0,2,4,9,0,2,10,0,2,3,6,0,0,0,1,0,0,4,0,1,2,21,0,12,27,4,0,11,0,25,7,3,0,0,1,87,9,18
70,19,11,0,2,0,16,9,6,5,2,0,4,0,12,10,0,2,0,1,0,1,3,0,3,10,3,27,0,0,0,4,8,7,13,3,7,4,0,0,3
71,1,1,1,7,11,11,0,0,2,9,3,6,0,1,0,0,2,3,5,1,2,3,1,1,0,1,20,70,31,9,40,2,5,3,1,2,5,0,1,2
72,0,2,6,14,4,5,6,2,0,2,2,5,2,21,0,1,19,1,0,1,1,2,0,36,8,0,2,1,3,11,0,15,3,1,12,3,0,6,5,0
73,1,10,7,0,0,6,12,0,0,0,0,7,5,0,3,13,3,0,11,12,2,0,1,9,1,5,7,7,4,2,1,1,2,4,0,12,1,10,11,3
74,7,2,2,8,1,0,6,0,5,7,0,0,23,4,15,1,3,1,3,4,0,2,9,6,15,14,0,6,0,0,22,12,7,3,3,2,4,27,0,0
75,25,0,5,5,1,7,4,8,0,30,1,1,3,5,10,0,9,2,0,1,9,10,0,9,0,17,3,0,16,20,14,0,11,0,12,0,11,0,1,3
76,5,13,1,3,8,6,5,0,3,14,1,6,4,8,2,1,0,4,13,8,1,3,9,23,2,0,0,0,0,7,0,0,1,15,2,1,1,15,0,1
77,8,23,18,2,2,16,1,5,20,22,0,3,4,0,10,0,10,5,9,0,18,4,5,7,0,3,15,0,11,7,15,0,4,3,31,6,5,2,2,11
78,12,2,13,11,4,1,1,0,0,7,0,57,1,1,3,3,0,1,44,0,0,34,5,14,0,3,14,1,3,1,3,9,1,7,5,0,18,2,3,15
79,13,0,32,24,5,3,1,16,6,2,3,0,3,6,3,1,5,0,18,11,2,3,3,7,1,2,0,0,8,13,1,1,1,2,6,4,20,5,9,0
80,6,3,2,7,0,4,11,12,2,23,7,33,2,7,0,31,1,9,1,4,5,1,3,2,5,1,2,1,0,6,8,0,16,3,15,26,0,5,3,5
81,4,5,3,1,2,5,7,0,3,56,0,0,1,7,0,0,9,7,1,1,0,1,0,2,2,0,33,0,11,0,11,13,3,5,16,0,3,3,0,0
82,17,0,2,7,5,4,0,6,8,7,0,9,0,1,5,1,2,4,1,16,3,0,2,15,0,11,5,0,2,0,13,5,1,5,2,5,8,0,4,6
83,1,0,5,8,7,3,0,4,1,0,3,0,6,1,0,10,1,0,5,1,2,5,6,1,0,0,9,1,0,7,7,1,1,2,10,8,5,0,0,5
84,6,4,7,9,9,12,5,10,1,9,2,2,37,17,8,3,0,0,0,7,2,7,6,17,1,14,0,4,1,11,0,4,8,10,2,0,10,0,34,1
85,0,11,1,1,2,2,15,0,12,17,1,2,0,0,20,2,11,2,10,0,1,7,0,0,22,9,21,1,0,2,4,7,8,36,12,0,6,8,5,13
86,3,43,1,17,8,1,1,0,2,1,2,1,0,1,11,2,1,1,21,5,0,8,0,9,0,6,9,31,0,4,4,12,0,12,0,2,10,31,2,8
87,1,3,2,3,9,2,10,0,13,57,0,3,0,0,1,2,6,1,0,2,1,30,13,0,2,1,0,0,3,0,1,2,2,4,11,10,5,0,7,2
88,9,27,0,3,1,8,10,0,2,11,2,16,2,1,18,32,2,4,1,0,0,4,0,1,6,0,24,0,36,24,7,11,0,15,2,0,12,44,1,2
89,0,20,2,3,0,0,10,3,12,4,0,2,5,6,2,7,10,3,11,8,0,2,8,2,12,23,12,4,0,11,3,0,2,13,6,1,7,2,0,2
90,14,4,1,20,2,0,1,4,24,11,4,0,1,4,0,3,0,1,4,0,10,18,5,9,11,1,0,1,0,2,5,2,8,0,43,8,5,0,33,9
91,4,0,17,0,1,0,1,0,13,2,7,1,1,1,9,3,11,2,3,0,14,30,4,9,2,10,0,0,0,0,7,2,9,5,1,0,16,2,0,11
92,18,13,3,4,0,2,0,0,17,10,15,0,3,1,2,0,2,1,13,8,0,2,9,13,14,0,3,1,1,0,6,10,3,2,1,6,0,19,8,0
93,2,8,10,1,10,4,1,9,1,0,0,1,9,8,12,14,4,9,9,18,3,0,4,3,0,1,4,9,1,6,31,3,11,8,50,0,32,20,1,2
94,0,0,19,9,1,3,6,28,3,16,0,8,0,7,9,4,3,1,3,15,1,26,2,25,3,7,1,0,0,1,10,3,7,56,6,0,5,1,16,18
95,10,2,2,0,14,0,0,12,0,5,4,1,10,4,2,5,0,2,11,11,1,0,5,0,0,4,1,0,1,17,7,21,2,0,0,31,4,1,0,1
96,3,0,5,0,13,22,7,13,2,5,4,1,1,11,2,9,5,0,9,2,1,0,2,0,1,1,2,4,1,3,0,2,3,1,0,4,12,9,20,40
97,0,19,1,12,8,3,16,30,6,14,16,9,3,0,12,1,8,22,47,2,1,1,2,4,17,4,6,0,0,6,11,12,1,9,4,1,0,0,1,4
98,0,8,3,4,2,3,24,0,4,1,0,13,11,0,0,6,0,0,1,14,0,0,5,1,5,0,2,1,1,5,10,3,0,9,0,3,7,5,0,0
99,1,0,6,1,14,14,2,1,15,13,1,1,0,23,0,3,2,7,0,6,2,0,3,5,4,1,0,0,5,16,10,10,1,1,9,0,0,16,5,0
100,8,1,4,2,7,0,28,4,3,9,1,0,0,1,2,5,3,0,0,1,0,1,12,0,0,0,14,1,0,2,2,1,4,7,9,2,0,2,2,6
101,5,4,12,0,3,1,0,0,7,0,1,1,5,0,10,0,0,0,15,7,0,1,1,0,0,11,51,1,3,11,13,24,0,2,4,1,0,5,2,0
102,3,18,8,9,11,11,3,2,18,14,1,8,0,0,5,18,0,3,2,11,3,5,4,1,2,1,13,3,0,2,7,0,4,18,0,7,2,1,0,0
103,0,0,1,2,2,3,0,0,6,7,4,0,8,5,2,1,0,0,0,4,0,6,0,9,11,0,1,0,0,5,30,2,34,6,7,2,1,1,11,8
104,0,6,1,1,5,2,1,0,2,1,1,20,0,5,0,3,33,9,9,4,12,0,10,16,4,0,4,10,20,4,0,10,5,3,9,0,4,3,0,0
105,1,13,0,0,9,7,1,0,1,8,2,22,4,0,13,1,3,10,41,2,8,5,8,1,1,2,0,2,0,25,8,20,9,1,0,1,0,1,0,9
106,0,46,1,4,6,1,1,8,9,8,2,0,13,13,5,6,0,4,0,0,4,3,3,2,0,0,1,6,2,8,8,7,3,7,4,11,1,17,13,5
107,33,1,14,3,2,2,1,38,6,14,1,4,1,1,4,2,0,31,13,8,23,3,3,12,7,0,2,0,4,2,14,14,7,8,0,2,7,2,2,42
108,6,10,1,3,26,7,11,0,4,0,1,38,1,0,1,3,9,21,0,15,7,4,7,1,14,14,22,3,3,6,8,56,17,4,1,8,1,0,1,9
109,3,18,12,12,12,5,0,6,5,8,0,8,2,6,1,1,1,6,1,0,3,0,9,8,9,5,3,14,0,4,16,10,3,0,4,0,0,0,4,0
110,7,0,1,0,11,0,0,0,4,19,5,3,1,15,0,1,6,10,1,1,38,6,0,5,2,6,3,0,1,9,1,6,4,1,11,0,13,1,26,10
111,11,0,10,4,8,0,2,1,4,20,0,0,0,1,0,0,0,3,17,8,0,0,11,8,3,0,2,0,26,6,2,5,0,1,20,6,0,4,1,0
112,0,42,0,14,5,7,6,21,0,26,1,3,0,1,9,4,0,2,6,2,1,0,4,7,8,4,3,0,0,1,3,16,1,6,1,7,1,2,17,0
113,0,36,15,0,8,21,10,14,11,16,0,14,10,0,0,7,5,0,0,3,4,8,0,10,4,0,4,0,8,8,12,1,0,1,30,2,4,3,1,42
114,15,2,7,15,3,2,4,2,9,3,0,10,7,7,0,3,0,1,0,13,2,3,3,1,0,13,7,3,0,17,2,7,0,0,10,2,1,4,6,7
115,6,6,10,0,12,51,14,3,13,8,0,3,2,16,10,8,0,2,0,9,0,2,0,4,1,6,5,2,1,0,14,3,1,1,2,1,5,7,1,0
116,9,20,0,0,7,0,0,1,2,12,0,5,3,6,1,1,4,3,0,2,0,1,9,0,0,3,3,4,16,19,0,19,8,6,5,10,8,0,0,1
117,9,6,1,7,1,14,0,2,1,5,0,13,2,10,1,3,1,18,7,0,0,0,0,1,2,4,0,2,8,5,6,1,2,27,5,4,13,0,0,2
118,8,27,20,6,12,1,0,1,10,12,10,1,0,3,7,20,14,0,19,11,4,0,12,8,0,5,1,1,1,13,7,0,0,2,2,1,1,0,0,10
119,16,5,13,9,2,0,0,1,2,7,2,2,6,23,3,0,8,0,51,2,1,0,1,3,5,28,1,0,6,0,7,21,2,4,4,2,4,1,1,0
120,0,5,3,5,0,1,33,0,2,31,0,1,4,4,7,0,1,38,7,14,3,4,11,7,8,8,6,0,2,0,2,1,8,16,2,7,5,1,2,2
121,21,2,26,8,5,1,13,1,7,8,0,0,3,0,7,2,2,0,1,16,1,1,8,10,1,10,3,0,0,3,3,10,2,3,5,13,6,0,0,18
122,1,9,13,1,10,2,0,1,1,11,0,0,3,0,0,0,0,3,1,0,0,2,8,0,14,6,2,0,0,1,8,5,10,0,6,10,14,2,1,1
123,16,1,10,0,3,3,7,1,9,27,1,62,1,0,2,0,13,0,0,8,0,15,0,3,3,1,0,0,0,11,1,0,11,1,0,3,7,7,3,1
124,0,6,0,8,5,4,12,2,8,2,5,0,1,1,6,0,7,0,1,2,1,0,16,0,10,1,11,0,4,23,3,10,0,2,7,6,5,2,9,0
125,0,0,16,5,11,3,0,0,0,2,1,1,5,1,1,0,4,0,12,3,0,0,0,10,1,5,14,0,0,0,3,4,11,0,3,1,8,0,1,39
126,11,27,9,1,1,8,1,0,4,12,4,0,1,30,0,15,1,0,1,0,0,0,2,0,7,12,16,2,0,2,4,3,16,21,0,3,6,3,1,14
127,1,1,4,5,0,1,15,0,3,0,0,1,9,6,1,0,6,0,0,5,0,1,0,6,1,0,1,0,1,8,8,13,5,0,0,6,13,20,0,5
128,15,0,4,1,9,3,11,5,9,12,0,19,0,1,16,1,2,2,4,1,0,8,4,0,0,0,5,0,2,0,0,1,13,2,3,1,20,44,0,6
129,7,6,2,16,4,1,20,2,5,7,0,1,10,4,13,2,3,0,13,6,1,11,8,0,0,1,25,0,1,0,1,24,1,6,3,5,1,0,11,10
130,11,10,17,3,1,5,9,3,3,2,0,5,14,0,13,1,7,8,2,9,11,1,6,5,15,8,0,2,2,10,1,2,2,42,1,13,10,0,0,18
131,10,3,4,45,7,0,0,8,6,16,0,8,10,10,4,0,1,0,7,0,1,1,5,7,3,13,4,0,0,14,0,0,0,2,13,10,12,0,15,0
132,7,0,12,0,4,0,8,12,5,6,5,4,2,8,0,1,0,2,6,1,1,0,1,9,10,0,0,4,2,6,4,5,4,13,1,0,13,0,0,5
133,1,12,0,12,12,2,9,1,3,1,0,2,4,9,6,1,2,0,0,0,0,1,15,1,1,0,2,7,1,1,30,0,8,3,8,1,1,0,0,3
134,2,2,1,0,7,1,11,14,14,2,3,20,3,4,2,1,15,5,3,0,0,2,2,5,4,1,1,1,0,0,5,12,0,0,6,4,0,0,2,6
135,5,33,19,4,5,10,0,1,1,43,0,9,1,9,2,0,11,7,0,8,6,2,16,12,10,1,7,0,0,0,9,6,1,3,28,1,0,7,0,3
136,8,0,2,0,0,0,0,11,3,30,0,0,16,1,10,0,10,0,7,6,0,4,0,7,4,3,1,1,0,3,13,10,6,1,1,3,0,5,0,1
137,38,1,10,0,1,33,4,1,6,0,0,15,4,15,12,1,12,1,6,4,3,10,0,1,2,0,3,0,0,8,4,0,24,1,3,0,5,5,1,6
138,0,11,2,0,2,2,0,0,5,14,6,0,0,0,2,1,0,0,2,0,5,1,11,1,4,1,1,1,0,0,3,0,0,9,8,0,3,0,1,1
139,31,63,9,26,13,14,4,4,10,9,0,10,1,10,5,1,0,0,1,1,6,9,1,7,10,0,25,0,1,7,0,13,5,3,2,0,5,1,2,1
140,0,12,3,4,25,2,0,0,4,0,0,1,9,6,29,0,0,0,0,9,16,0,0,1,0,20,12,1,10,4,4,1,1,1,11,11,15,10,1,2
141,0,5,32,8,8,8,4,1,1,1,0,0,2,4,1,0,8,1,16,9,0,2,0,0,11,1,3,0,10,13,32,0,0,11,3,10,0,2,1,3
142,10,14,1,1,3,14,0,8,6,68,0,6,4,10,1,0,1,0,8,0,5,14,10,0,0,1,13,2,6,0,0,2,2,10,6,0,3,12,2,2
143,3,1,30,4,10,2,4,3,8,51,0,0,1,8,2,11,1,0,2,11,0,11,8,1,4,35,6,2,12,0,7,1,6,9,2,0,0,0,0,1
144,39,3,3,2,2,11,1,14,7,19,1,0,1,9,1,1,1,18,0,9,0,5,23,0,10,15,9,0,9,7,1,2,1,4,9,3,0,0,2,10
145,15,5,20,1,3,12,0,0,3,38,0,0,5,1,0,2,0,1,9,12,1,4,13,0,11,7,9,0,5,0,13,1,3,3,4,7,5,1,2,0
146,15,7,9,0,0,0,1,0,2,14,3,25,1,18,20,0,5,0,0,29,15,9,4,2,4,4,1,1,0,5,8,11,1,2,13,2,0,6,3,3
147,8,72,2,7,5,6,9,20,9,0,0,11,8,14,4,0,0,4,6,6,3,26,1,0,6,13,6,6,0,11,10,16,12,1,2,0,10,4,1,0
148,7,40,2,4,0,9,37,16,8,11,0,2,3,7,14,0,15,9,2,0,3,0,1,9,8,0,0,6,0,5,1,0,5,22,14,31,9,0,0,2
149,2,15,5,4,3,14,8,12,5,12,1,4,16,0,12,1,2,0,0,7,0,8,0,0,4,3,9,1,1,0,7,1,0,6,0,16,5,0,0,18
150,1,1,13,4,0,2,1,11,8,4,2,0,29,1,1,1,4,2,38,3,14,12,3,8,5,3,5,0,7,3,12,18,5,6,8,4,1,0,2,2
